nci60	ccle	cgp	gdsc	gdscDec15	ctrp	nciSclc	mdaMills
NA	5637	5637	5637	5637	5637	NA	NA
NA	HCC38	HCC38	HCC38	HCC38	HCC38	NA	HCC38
NA	DU4475	DU-4475	DU-4475	DU-4475	DU4475	NA	DU4475
NA	NCI-H1573	NCI-H1573	NCI-H1573	NCI-H1573	NCI-H1573	NA	H1573
NA	NCI-H1651	NCI-H1651	NCI-H1651	NCI-H1651	NCI-H1651	NA	H1651
NA	SK-UT-1	SK-UT-1	SK-UT-1	SK-UT-1	SK-UT-1	NA	NA
NA	MDA-MB-175-VII	MDA-MB-175-VII	NA	MDA-MB-175-VII	NA	NA	MDAMB175VII
NA	Becker	Becker	Becker	Becker	Becker	NA	NA
NA	NCI-H1666	NCI-H1666	NCI-H1666	NCI-H1666	NCI-H1666	NA	H1666
NA	SW 1783	SW1783	SW1783	SW1783	SW 1783	NA	NA
NA	IST-MES1	IST-MES1	IST-MES1	IST-MES1	IST-MES1	NA	NA
NA	NCI-H2342	NCI-H2342	NCI-H2342	NCI-H2342	NCI-H2342	NA	H2342
NA	T1-73	TI-73	NA	TI-73	NA	NA	NA
NA	NCI-H2291	NCI-H2291	NCI-H2291	NCI-H2291	NCI-H2291	NA	NA
NA	TE-10	TE-10	TE-10	TE-10	TE-10	NA	NA
NA	BHY	BHY	BHY	BHY	BHY	NA	NA
NA	CGTH-W-1	CGTH-W-1	CGTH-W-1	CGTH-W-1	CGTH-W-1	NA	NA
NA	LS123	LS-123	LS-123	LS-123	LS123	NA	LS123
NA	HEL	HEL	HEL	HEL	HEL	NA	NA
NA	RCC10RGB	RCC10RGB	RCC10RGB	RCC10RGB	RCC10RGB	NA	NA
NA	TE-6	TE-6	TE-6	TE-6	TE-6	NA	NA
NA	BL-41	BL-41	BL-41	BL-41	BL-41	NA	BL41
NA	COR-L105	COR-L105	COR-L105	COR-L105	COR-L105	NA	NA
NA	COLO 668	COLO-668	COLO-668	COLO-668	COLO 668	COLO 668	NA
NA	OS-RC-2	OS-RC-2	OS-RC-2	OS-RC-2	OS-RC-2	NA	NA
NA	KP-N-RT-BM-1	KP-N-RT-BM-1	NA	KP-N-RT-BM-1	NA	NA	NA
NA	EC-GI-10	EC-GI-10	EC-GI-10	EC-GI-10	EC-GI-10	NA	NA
NA	CW-2	CW-2	CW-2	CW-2	CW-2	NA	NA
NA	HEC-1-B	HEC-1	HEC-1	HEC-1	HEC-1-B	NA	NA
NA	TGBC11TKB	TGBC11TKB	TGBC11TKB	TGBC11TKB	NA	NA	NA
NA	TE-8	TE-8	TE-8	TE-8	TE-8	NA	NA
NA	NCI-H838	NCI-H838	NCI-H838	NCI-H838	NCI-H838	NA	H838
NA	TALL-1	TALL-1	NA	TALL-1	TALL-1	NA	NA
NA	ECC12	ECC12	ECC12	ECC12	ECC12	NA	NA
NA	RS4;11	RS4-11	RS4-11	RS4-11	RS4;11	NA	NA
NA	SW1463	SW1463	SW1463	SW1463	SW1463	NA	NA
NA	WM-115	WM-115	WM-115	WM-115	WM-115	NA	WM115
NA	OE33	OE33	OE33	OE33	OE33	NA	OE33
NA	SJSA-1	SJSA-1	SJSA-1	SJSA-1	SJSA-1	NA	SJSA1
NA	NCI-H2228	NCI-H2228	NCI-H2228	NCI-H2228	NCI-H2228	NA	H2228
NA	SK-MES-1	SK-MES-1	SK-MES-1	SK-MES-1	SK-MES-1	NA	SKMES1
NA	NCI-H520	NCI-H520	NCI-H520	NCI-H520	NCI-H520	NA	H520
NA	COLO-800	COLO-800	COLO-800	COLO-800	COLO-800	NA	NA
NA	J82	J82	J82	J82	J82	NA	NA
NA	Calu-6	Calu-6	Calu-6	Calu-6	Calu-6	NA	CALU6
NA	SK-LU-1	SK-LU-1	SK-LU-1	SK-LU-1	SK-LU-1	NA	SKLU1
NA	SW 900	SW900	SW900	SW900	NA	NA	NA
NA	MFE-280	MFE-280	MFE-280	MFE-280	NA	NA	MFE280
NA	MFE-296	MFE-296	MFE-296	MFE-296	MFE-296	NA	MFE296
NA	GI-1	GI-1	GI-1	GI-1	GI-1	NA	NA
NA	PC-14	PC-14	PC-14	PC-14	PC-14	NA	NA
NA	KYSE-410	KYSE-410	KYSE-410	KYSE-410	KYSE-410	NA	NA
NA	A-204	A204	A204	A204	A-204	NA	A204
NA	NCI-H810	NCI-H810	NCI-H810	NCI-H810	NCI-H810	NA	H810
NA	RERF-LC-MS	RERF-LC-MS	RERF-LC-MS	RERF-LC-MS	RERF-LC-MS	NA	NA
NA	KYSE-140	KYSE-140	KYSE-140	KYSE-140	KYSE-140	NA	NA
NA	KYSE-180	KYSE-180	KYSE-180	KYSE-180	KYSE-180	NA	NA
NA	HUP-T3	HuP-T3	HuP-T3	HuP-T3	HUP-T3	NA	NA
NA	GCIY	GCIY	GCIY	GCIY	NA	NA	NA
NA	Caov-4	Caov-4	Caov-4	Caov-4	NA	NA	NA
NA	HCC2218	HCC2218	HCC2218	HCC2218	HCC2218	NA	HCC2218
NA	KO52	K052	K052	K052	KO52	NA	NA
NA	KNS-81	KNS-81-FD	KNS-81-FD	KNS-81-FD	KNS-81	NA	NA
NA	LU99	LU-99A	LU-99A	LU-99A	LU99	NA	NA
NA	MKN1	MKN1	MKN1	MKN1	MKN1	NA	MKN1
NA	HSC-2	HSC-2	HSC-2	HSC-2	HSC-2	NA	NA
NA	HuH-7	HuH-7	HuH-7	HuH-7	NA	NA	HUH7
NA	HuCCT1	HuCCT1	HuCCT1	HuCCT1	HuCCT1	NA	NA
NA	KALS-1	KALS-1	KALS-1	KALS-1	KALS-1	NA	NA
NA	CAL-12T	CAL-12T	CAL-12T	CAL-12T	CAL-12T	NA	NA
NA	THP-1	THP-1	THP-1	THP-1	THP-1	NA	THP1
NA	A3/KAW	A3-KAW	A3-KAW	A3-KAW	A3/KAW	NA	NA
NA	HCC1954	HCC1954	HCC1954	HCC1954	HCC1954	NA	HCC1954
NA	CAMA-1	CAMA-1	CAMA-1	CAMA-1	CAMA-1	NA	CAMA1
NA	AM-38	AM-38	AM-38	AM-38	AM-38	NA	NA
NA	HSC-3	HSC-3	HSC-3	HSC-3	HSC-3	NA	NA
NA	HSC-4	HSC-4	HSC-4	HSC-4	HSC-4	NA	NA
NA	KP4	KP-4	KP-4	KP-4	KP4	NA	NA
NA	HGC-27	HGC-27	HGC-27	HGC-27	HGC-27	NA	NA
NA	U266B1	U-266	U-266	U-266	U266B1	NA	U266B1
NA	CAS-1	CAS-1	CAS-1	CAS-1	CAS-1	NA	NA
NA	COR-L23	COR-L23	COR-L23	COR-L23	NA	NA	NA
NA	HPAF-II	HPAF-II	HPAF-II	HPAF-II	HPAF-II	NA	NA
NA	CA46	CA46	CA46	CA46	CA46	NA	CA46
NA	A-673	A673	A673	A673	A-673	NA	A673
NA	Capan-1	CAPAN-1	CAPAN-1	CAPAN-1	Capan-1	NA	CAPAN1
NA	NCI-H1563	NCI-H1563	NCI-H1563	NCI-H1563	NCI-H1563	NA	H1563
NA	NCI-H358	NCI-H358	NCI-H358	NCI-H358	NCI-H358	NA	H358
NA	CFPAC-1	CFPAC-1	CFPAC-1	CFPAC-1	CFPAC-1	NA	CFPAC1
NA	NCI-H1650	NCI-H1650	NCI-H1650	NCI-H1650	NCI-H1650	NCI-H1650	H1650
NA	NCI-H1793	NCI-H1793	NCI-H1793	NCI-H1793	NCI-H1793	NA	H1793
NA	NCI-H1437	NCI-H1437	NA	NCI-H1437	NA	NA	H1437
NA	KNS-62	KNS-62	KNS-62	KNS-62	KNS-62	NA	NA
NA	BT-20	BT-20	BT-20	BT-20	BT-20	NA	NA
NA	HH	HH	HH	HH	HH	NA	NA
NA	FaDu	FADU	FADU	FADU	FaDu	NA	FADU
NA	SJRH30	SJRH30	SJRH30	SJRH30	NA	NA	NA
NA	MDA-MB-361	MDA-MB-361	MDA-MB-361	MDA-MB-361	MDA-MB-361	NA	MDAMB361
NA	DB	DB	DB	DB	DB	NA	DB
NA	CAL 27	CAL-27	CAL-27	CAL-27	CAL 27	NA	CAL27
NA	MES-SA	MES-SA	MES-SA	MES-SA	MES-SA	NA	MESSA
NA	NCI-H1792	NCI-H1792	NCI-H1792	NCI-H1792	NCI-H1792	NA	H1792
NA	GCT	GCT	GCT	GCT	GCT	NA	NA
NA	SNU-16	NCI-SNU-16	NCI-SNU-16	NCI-SNU-16	SNU-16	NA	SNU16
NA	NCI-H82	NCI-H82	NCI-H82	NCI-H82	NA	NCI-H82	NA
NA	NCI-N87	NCI-N87	NCI-N87	NCI-N87	NCI-N87	NA	NA
NA	U-2 OS	U-2-OS	U-2-OS	U-2-OS	U-2 OS	NA	U2OS
NA	H4	H4	H4	H4	NA	NA	NA
NA	GDM-1	GDM-1	GDM-1	GDM-1	GDM-1	NA	NA
NA	HCC1143	HCC1143	HCC1143	HCC1143	HCC1143	NA	HCC1143
NA	T24	T-24	T-24	T-24	T24	NA	T24
NA	G-401	G-401	G-401	G-401	G-401	NA	NA
NA	HCC1937	HCC1937	HCC1937	HCC1937	HCC1937	NA	HCC1937
NA	Saos-2	Saos-2	Saos-2	Saos-2	Saos-2	NA	NA
NA	D283 Med	D-283MED	D-283MED	D-283MED	D283 Med	NA	NA
NA	SCC-9	SCC-9	SCC-9	SCC-9	SCC-9	NA	NA
NA	HCC1395	HCC1395	HCC1395	HCC1395	HCC1395	NA	HCC1395
NA	NMC-G1	NMC-G1	NMC-G1	NMC-G1	NMC-G1	NA	NA
NA	TE-9	TE-9	TE-9	TE-9	TE-9	NA	NA
NA	KNS-42	KNS-42	KNS-42	KNS-42	KNS-42	NA	NA
NA	KYSE-520	KYSE-520	KYSE-520	KYSE-520	KYSE-520	NA	NA
NA	KYSE-270	KYSE-270	KYSE-270	KYSE-270	NA	NA	NA
NA	YH-13	YH-13	YH-13	YH-13	YH-13	NA	NA
NA	IA-LM	IA-LM	IA-LM	IA-LM	IA-LM	NA	NA
NA	NCI-H2052	NCI-H2052	NCI-H2052	NCI-H2052	NCI-H2052	NA	H2052
NA	EB2	EB2	EB2	EB2	NA	NA	NA
NA	SK-N-FI	SK-N-FI	SK-N-FI	SK-N-FI	SK-N-FI	NA	NA
NA	SK-N-AS	SK-N-AS	SK-N-AS	SK-N-AS	SK-N-AS	NA	NA
NA	SNU-423	SNU-423	SNU-423	SNU-423	SNU-423	NA	SNU423
NA	SCC-4	SCC-4	SCC-4	SCC-4	SCC-4	NA	NA
NA	HCC1187	HCC1187	HCC1187	HCC1187	NA	NA	HCC1187
NA	SNU-387	SNU-387	SNU-387	SNU-387	SNU-387	NA	SNU387
NA	Daudi	Daudi	Daudi	Daudi	Daudi	NA	DAUDI
NA	HT	HT	NA	HT	HT	NA	HT
NA	C2BBe1	C2BBe1	C2BBe1	C2BBe1	C2BBe1	NA	C2BBE1
NA	EPLC-272H	EPLC-272H	EPLC-272H	EPLC-272H	EPLC-272H	NA	NA
NA	BxPC-3	BxPC-3	BxPC-3	BxPC-3	BxPC-3	NA	BXPC3
NA	NCI-H1355	NCI-H1355	NCI-H1355	NCI-H1355	NCI-H1355	NA	H1355
NA	SNU-5	NCI-SNU-5	NCI-SNU-5	NCI-SNU-5	SNU-5	NA	SNU5
NA	SNU-475	SNU-475	SNU-475	SNU-475	SNU-475	NA	SNU475
NA	RPMI-7951	RPMI-7951	RPMI-7951	RPMI-7951	RPMI-7951	NA	NA
NA	COLO 792	COLO-792	COLO-792	COLO-792	COLO 792	NA	NA
NA	LS513	LS-513	LS-513	LS-513	LS513	NA	NA
NA	ChaGo-K-1	ChaGo-K-1	ChaGo-K-1	ChaGo-K-1	ChaGo-K-1	NA	NA
NA	DMS 273	DMS-273	DMS-273	DMS-273	DMS 273	DMS 273	NA
NA	FTC-133	FTC-133	FTC-133	FTC-133	FTC-133	NA	NA
NA	A-704	A704	A704	A704	NA	NA	A704
NA	MeWo	Mewo	Mewo	Mewo	MeWo	NA	NA
NA	NCI-H2081	NCI-H2081	NA	NCI-H2081	NCI-H2081	NCI-H2081	NA
NA	NCI-H1092	NCI-H1092	NCI-H1092	NCI-H1092	NCI-H1092	NCI-H1092	NA
NA	SW837	SW837	SW837	SW837	NA	NA	SW837
NA	IGR-1	IGR-1	IGR-1	IGR-1	IGR-1	NA	NA
NA	NCI-H1436	NCI-H1436	NCI-H1436	NCI-H1436	NA	NCI-H1436	NA
NA	COR-L88	COR-L88	COR-L88	COR-L88	COR-L88	NA	NA
NA	HT55	HT55	HT55	HT55	HT55	NA	HT55
NA	OAW42	OAW-42	OAW-42	OAW-42	OAW42	NA	OAW42
NA	OAW28	OAW-28	OAW-28	OAW-28	OAW28	NA	OAW28
NA	KASUMI-1	KASUMI-1	KASUMI-1	KASUMI-1	KASUMI-1	NA	KASUMI1
NA	SK-HEP-1	SK-HEP-1	SK-HEP-1	SK-HEP-1	SK-HEP-1	NA	SKHEP1
NA	NCI-H596	NCI-H596	NCI-H596	NCI-H596	NA	NA	H596
NA	NCI-H650	NCI-H650	NCI-H650	NCI-H650	NCI-H650	NA	H650
NA	SW 1573	SW1573	SW1573	SW1573	SW 1573	NA	SW1573
NA	SK-CO-1	SK-CO-1	SK-CO-1	SK-CO-1	SK-CO-1	NA	NA
NA	KARPAS-299	KARPAS-299	KARPAS-299	KARPAS-299	KARPAS-299	NA	KARPAS299
NA	YAPC	YAPC	YAPC	YAPC	YAPC	NA	NA
NA	HT-1197	HT-1197	HT-1197	HT-1197	HT-1197	NA	HT1197
NA	A-253	A253	A253	A253	A-253	NA	NA
NA	DK-MG	DK-MG	DK-MG	DK-MG	DK-MG	NA	NA
NA	NCI-H292	NCI-H292	NCI-H292	NCI-H292	NCI-H292	NA	H292
NA	U-118 MG	U-118-MG	U-118-MG	U-118-MG	U-118 MG	NA	NA
NA	TCCSUP	TCCSUP	TCCSUP	TCCSUP	TCCSUP	NA	TCCSUP
NA	CAL-33	CAL-33	CAL-33	CAL-33	CAL-33	NA	NA
NA	COR-L279	COR-L279	COR-L279	COR-L279	COR-L279	NA	NA
NA	KURAMOCHI	KURAMOCHI	KURAMOCHI	KURAMOCHI	KURAMOCHI	NA	KURAMOCHI
NA	A2058	A2058	A2058	A2058	A2058	NA	A2058
NA	Daoy	Daoy	Daoy	Daoy	Daoy	NA	NA
NA	LC-1F	LC-1F	LC-1F	LC-1F	LC-1F	NA	NA
NA	HLE	HLE	HLE	HLE	NA	NA	HLE
NA	CMK	CMK	CMK	CMK	CMK	NA	NA
NA	CPC-N	CPC-N	CPC-N	CPC-N	NA	NA	NA
NA	PLC/PRF/5	PLC-PRF-5	NA	PLC-PRF-5	PLC/PRF/5	NA	PLCPRF5
NA	KP-N-YN	KP-N-YN	KP-N-YN	KP-N-YN	KP-N-YN	NA	NA
NA	CCF-STTG1	CCF-STTG1	CCF-STTG1	CCF-STTG1	CCF-STTG1	NA	NA
NA	DMS 153	DMS-153	NA	DMS-153	NA	NA	NA
NA	NCI-H1048	NCI-H1048	NCI-H1048	NCI-H1048	NA	NCI-H1048	H1048
NA	NCI-H1618	NCI-H1618	NA	NCI-H1618	NA	NCI-H1618	NA
NA	SKM-1	SKM-1	SKM-1	SKM-1	SKM-1	NA	NA
NA	HT-144	HT-144	HT-144	HT-144	HT-144	NA	NA
NA	DV-90	DV-90	NA	DV-90	DV-90	NA	NA
NA	HCC70	HCC70	HCC70	HCC70	NA	NA	HCC70
NA	NCI-H2452	NCI-H2452	NCI-H2452	NCI-H2452	NCI-H2452	NA	NA
NA	SNU-1	NCI-SNU-1	NCI-SNU-1	NCI-SNU-1	SNU-1	NA	SNU1
NA	Loucy	LOUCY	LOUCY	LOUCY	NA	NA	NA
NA	MPP 89	MPP-89	MPP-89	MPP-89	MPP 89	NA	NA
NA	Panc 08.13	PANC-08-13	PANC-08-13	PANC-08-13	Panc 08.13	NA	NA
NA	MG-63	MG-63	MG-63	MG-63	MG-63	NA	MG63
NA	SW 1088	SW1088	SW1088	SW1088	SW 1088	NA	NA
NA	NCI-H1838	NCI-H1838	NCI-H1838	NCI-H1838	NCI-H1838	NA	H1838
NA	BL-70	BL-70	NA	BL-70	BL-70	NA	BL70
NA	RCM-1	RCM-1	RCM-1	RCM-1	RCM-1	NA	NA
NA	A101D	A101D	A101D	A101D	A101D	NA	NA
NA	NCI-H1755	NCI-H1755	NCI-H1755	NCI-H1755	NCI-H1755	NA	NA
NA	NCI-H1693	NCI-H1693	NCI-H1693	NCI-H1693	NCI-H1693	NA	H1693
NA	SW 780	SW780	SW780	SW780	NA	NA	NA
NA	RKO	RKO	RKO	RKO	RKO	NA	NA
NA	SK-LMS-1	SK-LMS-1	SK-LMS-1	SK-LMS-1	SK-LMS-1	NA	SKLMS1
NA	HuTu 80	HUTU-80	HUTU-80	HUTU-80	NA	NA	NA
NA	MEG-01	MEG-01	MEG-01	MEG-01	NA	NA	NA
NA	ONS-76	ONS-76	ONS-76	ONS-76	ONS-76	NA	NA
NA	SNU-C1	SNU-C1	SNU-C1	SNU-C1	SNU-C1	NA	SNUC1
NA	SK-N-DZ	SK-N-DZ	SK-N-DZ	SK-N-DZ	SK-N-DZ	NA	NA
NA	DMS 114	DMS-114	DMS-114	DMS-114	DMS 114	DMS 114	NA
NA	ST486	ST486	ST486	ST486	ST486	NA	NA
NA	OC 314	OC-314	OC-314	OC-314	OC 314	NA	NA
NA	MDA-MB-157	MDA-MB-157	MDA-MB-157	MDA-MB-157	MDA-MB-157	NA	MDAMB157
NA	769-P	769-P	769-P	769-P	769-P	NA	769P
NA	Caov-3	Caov-3	NA	Caov-3	Caov-3	NA	CAOV3
NA	NCI-H524	NCI-H524	NCI-H524	NCI-H524	NCI-H524	NCI-H524	H524
NA	NCI-H209	NCI-H209	NCI-H209	NCI-H209	NCI-H209	NCI-H209	NA
NA	MIA PaCa-2	MIA-PaCa-2	MIA-PaCa-2	MIA-PaCa-2	MIA PaCa-2	NA	MIAPACA2
NA	SBC-5	SBC-5	SBC-5	SBC-5	SBC-5	NA	NA
NA	IPC-298	IPC-298	IPC-298	IPC-298	IPC-298	NA	NA
NA	EFO-27	EFO-27	EFO-27	EFO-27	EFO-27	NA	EFO27
NA	A2780	A2780	A2780	A2780	A2780	NA	A2780
NA	NCI-H889	NCI-H889	NA	NA	NCI-H889	NCI-H889	NA
NA	SK-MEL-24	SK-MEL-24	SK-MEL-24	SK-MEL-24	SK-MEL-24	NA	SKMEL24
NA	HT-1376	HT-1376	HT-1376	HT-1376	HT-1376	NA	NA
NA	NCI-H2171	NCI-H2171	NA	NCI-H2171	NCI-H2171	NCI-H2171	NA
NA	Panc 10.05	PANC-10-05	PANC-10-05	PANC-10-05	Panc 10.05	NA	PANC1005
NA	EVSA-T	EVSA-T	EVSA-T	EVSA-T	NA	NA	EVSAT
NA	CHL-1	CHL-1	CHL-1	CHL-1	NA	NA	NA
NA	LK-2	LK-2	LK-2	LK-2	LK-2	NA	NA
NA	SK-MEL-3	SK-MEL-3	SK-MEL-3	SK-MEL-3	SK-MEL-3	NA	SKMEL3
NA	AsPC-1	AsPC-1	AsPC-1	AsPC-1	AsPC-1	NA	ASPC1
NA	NCI-H441	NCI-H441	NCI-H441	NCI-H441	NCI-H441	NA	H441
NA	NCI-H2030	NCI-H2030	NCI-H2030	NCI-H2030	NCI-H2030	NA	H2030
NA	KMS-12-BM	KMS-12-BM	KMS-12-BM	KMS-12-BM	KMS-12-BM	NA	KMS12BM
NA	T98G	T98G	T98G	T98G	T98G	NA	NA
NA	DBTRG-05MG	DBTRG-05MG	DBTRG-05MG	DBTRG-05MG	DBTRG-05MG	NA	NA
NA	MEL-JUSO	MEL-JUSO	MEL-JUSO	MEL-JUSO	MEL-JUSO	NA	NA
NA	VMRC-RCZ	VMRC-RCZ	VMRC-RCZ	VMRC-RCZ	VMRC-RCZ	NA	NA
NA	A172	A172	A172	A172	A172	NA	NA
NA	NCI-H1975	NCI-H1975	NCI-H1975	NCI-H1975	NCI-H1975	NA	H1975
NA	COLO-679	COLO-679	COLO-679	COLO-679	NA	NA	NA
NA	MDA-MB-453	MDA-MB-453	MDA-MB-453	MDA-MB-453	MDA-MB-453	NA	MDAMB453
NA	TYK-nu	TYK-nu	TYK-nu	TYK-nu	TYK-nu	NA	TYKNU
