"compound_id"	"compound_name"	"equivalent_structures"	"primary_moa"	"moas"	"primary_target_gene_symbol"	"phase"	"rdkit_smiles"	"CAS"
"00019c664cc87d7fb621b883a182e7e5"	"Oxytetracycline dihydrate"	"[DSSTOX_40317, NCGC00091268, MLS001332434, MLS001332436, NCGC00185011, NCGC00018118, MLS001332433, NCGC00259399, MLS000069429, NCGC00094750, NCGC00159490, AB07981412, NCGC00386155, NCGC00188956, NCGC00390210, NCGC00389307, MLS001335873, MLS001148640, NCGC00022650, NCGC00186661, NCGC00164443, MLS001183715, NCGC00254367, NCGC00254587, MLS001332435, NCGC00017060, NCGC00255168]"	"Tetracycline Antibiotic"	"[Tetracycline Antibiotic, Bacterial 30s Ribosomal Protein Inhibitor, Bacterial 70s Ribosome Inhibitor]"	""	"[Unknown, Approved]"	"[C[NH+](C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12, CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12, CN(C)[C@@H]1C(=O)C(=C(N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12, CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3[C@H](O)C12.O, CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12, CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12.Cl, CN(C)C1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@H]12, CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12, CN(C)C1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@](C)(O)C3C(O)C12.Cl, CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12.O, CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12, CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12.O.O, CN(C)[C@@H]1C(=O)C(=C(N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)C3[C@H](O)C12, CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)C3[C@H](O)C12, CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12.Cl, CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3C(O)C12, CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12, CN(C)C1C(=O)C(=C(N)O)C(=O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3C(O)C12, CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3[C@H](O)C12.Cl, CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12, CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3[C@H](O)C12, CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12.[Ca], CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12, CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12, CN(C)C1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@](C)(O)C3C(O)C12, CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12.O.O, CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12]"	"2058-46-0"
"000696cf85dc2e94715f14d64243a4d1"	"DACINOSTAT"	"[NCGC00345539]"	"Hdac Inhibitor"	"[Hdac Inhibitor, Histone Deacetylase (hdac) Inhibitor]"	"HDAC1"	"[Discontinued, Unknown]"	"[O=C(/C=C/c1ccc(CN(CCO)CCc2c[nH]c3ccccc23)cc1)NO]"	"404951-53-7"
"001746f2b55a1cdc4f286bd7454b0d95"	"ALACEPRIL"	"[NCGC00182037]"	"Angiotensin-i Converting Enzyme Inhibitor"	"[Angiotensin-i Converting Enzyme Inhibitor]"	"ACE"	"[Unknown, Approved]"	"[CC(=O)SCC(C)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)O, CC(=O)SC[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O]"	"74258-86-9"
"0033e09e12a95c7dd089d2d304cfafed"	"Belotecan"	"[NCGC00506803]"	"Dna Topoisomerase I Inhibitor"	"[Dna Topoisomerase I Inhibitor, Dna Intercalating Drugs]"	"TOP1"	"[Phase II, Unknown, Approved]"	"[CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2CCNC(C)C, CC(=O)O.CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2CCNC(C)C, CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2CCNC(C)C.Cl, CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2CCNC(C)C]"	"213819-48-8"
"003bd2b410ae5e931715f6ccf9ec5636"	"Chelerythrine chloride"	"[NCGC00093703, NCGC00485514, NCGC00390683, NCGC00162102, NCGC00015225, NCGC00260926]"	"Pkc Inhibitor"	"[Pkc Inhibitor, Bcl-xl Inhibitor, P2x Purinoceptor 7 Antagonist, Rho Gtpase Inhibitor, Butyrylcholinesterase Inhibitor, Bcl-2-like Protein 1 (bcl-xl) Inhibitor, Acetylcholinesterase Inhibitor, Protein Kinase C (pkc) Inhibitor]"	"P2RX7"	"[Preclinical, Unknown]"	"[COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC, COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC.[Cl-], COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC.[OH-]]"	"34316-15-9"
"006700bba9a0c4778c62167b341245f5"	"AS-1949490"	"[NCGC00346882]"	"Sh2 Containing Inositol Phosphatase (ship) Inhibitor"	"[Sh2 Containing Inositol Phosphatase (ship) Inhibitor, Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 Inhibitor]"	"INPPL1"	"[Preclinical, Unknown]"	"[C[C@H](NC(=O)c1sccc1OCc1ccc(Cl)cc1)c1ccccc1]"	"1203680-76-5"
"008be1e9ba32bf894be0aa3d99bf6bc8"	"INCYCLINIDE"	"[NCGC00510443]"	"Matrix Metalloproteinase-9 Inhibitor"	"[Matrix Metalloproteinase-9 Inhibitor, Mmp-9 (gelatinase B) Inhibitor, Vascular Endothelial Growth Factor Inhibitor, 72 Kda Type Iv Collagenase Inhibitor]"	"MMP"	"[Phase II, Unknown]"	"[NC(=O)C1=C(O)C[C@@H]2CC3Cc4cccc(O)c4C(=O)C3=C(O)[C@]2(O)C1=O, NC(=O)C1=C(O)C[C@@H]2C[C@@H]3Cc4cccc(O)c4C(=O)C3=C(O)[C@]2(O)C1=O, NC(=O)C1=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4C[C@H]3C[C@H]2CC1=O]"	""
"008c7e9b80222b62b00542f360e015b4"	"CFI-402257"	"[NCGC00510518]"	"Mps1 Inhibitor"	"[Mps1 Inhibitor, Dual Specificity Protein Kinase Ttk Inhibitor]"	"TTK"	"[Phase I]"	"[Cc1cc(-c2cnn3c(NC[C@H]4C[C@@](C)(O)C4)cc(Oc4cccnc4)nc23)ccc1C(=O)NC1CC1]"	"1610759-22-2"
"00a055df2a5df93d4fb54bb89b614d3e"	"Nimesulide"	"[NCGC00344292, NCGC00015725, NCGC00261540, MLS001148268, MLS000069680, NCGC00021842, NCGC00255661]"	"Prostaglandin G/h Synthase 2 Inhibitor"	"[Prostaglandin G/h Synthase 2 Inhibitor, Prostaglandin G/h Synthase 2 (ptgs2; Cox-2) Inhibitor, Cyclooxygenase-2 Inhibitor]"	"PTGS2"	"[Approved]"	"[CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1]"	"51803-78-2"
"00a21dfe3393d1b769f413daa4c31833"	"AZD-26"	"[NCGC00345856]"	"Akt Inhibitor"	"[Akt Inhibitor, Akt Serine/threonine Kinase 1 Inhibitor]"	"AKT1"	"[Preclinical, Unknown]"	"[NC(=O)c1cnc(-c2ccc(C3(N)CCC3)cc2)c(-c2ccccc2)c1]"	"1357158-81-6"
