"compound_id"	"compound_name"	"equivalent_structures"	"primary_moa"	"moas"	"primary_target_gene_symbol"	"phase"	"rdkit_smiles"	"CAS"	"nsc"	"prefix"	"name"	"pubchem_id"	"testing_status"	"failure_reason"	"confidential_flag"	"mechanism"	"synonym"	"smiles"	"cas.y"	"found"	"duplicated"
"008c7e9b80222b62b00542f360e015b4"	"CFI-402257"	"[NCGC00510518]"	"Mps1 Inhibitor"	"[Mps1 Inhibitor, Dual Specificity Protein Kinase Ttk Inhibitor]"	"TTK"	"[Phase I]"	"[Cc1cc(-c2cnn3c(NC[C@H]4C[C@@](C)(O)C4)cc(Oc4cccnc4)nc23)ccc1C(=O)NC1CC1]"	"1610759-22-2"	"800888"	"S"	""	"-1"	"Clinical trial"	"0"	"0"	"PK:TTK"	"cfi402257||cfi-402257||cs-6527"	"Cc1cc(ccc1C(=O)NC2CC2)c3cnn4c(NC[C@@H]5C[C@](C)(O)C5)cc(Oc6cccnc6)nc34"	"1610759222"	"cas"	"FALSE"
"00e7470820994ba631b4973d53ad167e"	"CEDIRANIB MALEATE"	"[NCGC00263097]"	"Vascular Endothelial Growth Factor Receptor 2 Inhibitor"	"[Vascular Endothelial Growth Factor Receptor 2 Inhibitor, Vegfr-1/2/3 Inhibitor, Vascular Endothelial Growth Factor Receptor 3 Inhibitor, Vascular Endothelial Growth Factor Receptor 1 Inhibitor]"	"KDR"	"[Phase III]"	"[COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1.O=C(O)/C=C\C(=O)O, COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1]"	"288383-20-0"	"755606"	"S"	"Cediranib"	"-1"	"Clinical trial"	"0"	"0"	"PK:YK,VEGF,VEGFR"	"azd2171||s1017||cediranib||recentin||AZD-2171"	"COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN5CCCC5"	"288383200"	"cas"	"FALSE"
"03a7a6250495d0e2b252b3441b306e19"	"Allopurinol"	"[NCGC00388386, NCGC00260787, NCGC00258476, NCGC00091134, NCGC00188948, NCGC00178999, MLS000069453, AB07949240, NCGC00015094, NCGC00094580, MLS001148183, NCGC00093369]"	"Xanthine Dehydrogenase/oxidase Inhibitor"	"[Xanthine Dehydrogenase/oxidase Inhibitor, Xanthine Oxidase Inhibitor, Breast Cancer-resistant Protein Inhibitor]"	"XDH"	"[Phase II, Approved]"	"[O=C1N=CN=C2N=NC=C12, Oc1ncnc2[nH]ncc12, O=c1ncnc2[nH][nH]cc1-2, Oc1[nH]cnc2nncc1-2, O=c1[n-]cnc2[nH]ncc12.[Na+], O=c1[nH]cnc2[nH]ncc12, O=c1nc[nH]c2n[nH]cc12]"	"315-30-0"	"1390"	"S"	"Allopurinol"	"-1"	"FDA approved"	"0"	"0"	"AM|XDH"	"atisuril||4-hydroxy-3,4-pyrazolopyrimidine||milurit||urolit||4-hydroxy-1h-pyrazolo[3,4-d]pyrimidine||foligan||urosin||4h-pyrazolo[3,4-d]pyrimidin-4-one, 1,5-dihydro- (8ci9ci)||allopurinol(i)||apurol||bloxanth||zyloric||ketobun-a||zyloprim||allopurinol(usan)||allopurinol||gotax||a0907||uripurinol||1,5-dihydro-4h-pyrazolo[3,4-d]pyrimidin-4-one (9ci)||ailural||4-hydroxypyrazolyl[3,4-d]pyrimidine||bw 56158||1h-pyrazolo[3,4-d]pyrimidin-4-ol||wln: t56 bmn gn inj fq||lopurin||urbol||4-hydroxypyrazolo[3,4-d]pyrimidine||xanturat||epidropal||hpp||geapur||bleminol||allopurinol (usan)||b. w. 56-158||uriprim||anzief||4'-hydroxypyrazolol[3,4-d]pyrimidine||allopur||alositol||bw 56-158||embarin||anoprolin||progout||uricemil||4-hpp||BW-56-158||Allgoric||Ciploric"	"O=C1NC=Nc2[nH]ncc12"	"315300"	"cas"	"FALSE"
"040b6da84be10e064c225c3c22174fa7"	"VOLASERTIB"	"[NCGC00386176, NCGC00485964, NCGC00387812, NCGC00263087]"	"Serine/threonine-protein Kinase Plk1 Inhibitor"	"[Serine/threonine-protein Kinase Plk1 Inhibitor, Polo-like Kinase-1 (plk-1) Inhibitor]"	"PLK1"	"[Phase III, Phase II, Unknown]"	"[CCC1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCC(N5CCN(CC6CC6)CC5)CC4)cc3OC)nc2N1C(C)C, CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)N[C@H]4CC[C@H](N5CCN(CC6CC6)CC5)CC4)cc3OC)nc2N1C(C)C.Cl.Cl.Cl, CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)N[C@H]4CC[C@H](N5CCN(CC6CC6)CC5)CC4)cc3OC)nc2N1C(C)C, CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCC(N5CCN(CC6CC6)CC5)CC4)cc3OC)nc2N1C(C)C]"	"755038-65-4"	"757149"	"S"	"Volasertib"	"-1"	"Clinical trial"	"0"	"0"	"PK:STK,PLK1"	"volasertib||kin0000713||bi-6727"	"CC[C@H]1N(C(C)C)c2nc(Nc3ccc(cc3OC)C(=O)N[C@@H]4CC[C@H](CC4)N5CCN(CC6CC6)CC5)ncc2N(C)C1=O"	"755038654"	"cas"	"FALSE"
"043500a81f763d925f0de7fcadf2d4fa"	"NITAZOXANIDE"	"[NCGC00090774, AB02540575, NCGC00258778, MLS000759492]"	"Anti-helmenthic"	"[Anti-helmenthic, Antiprotozoal Agent]"	""	"[Approved]"	"[CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1]"	"55981-09-4"	"760057"	"S"	"nitazoxanide"	"144076250"	""	"0"	"0"	""	"nitazoxanide (usan)||;nitazoxanide ||nitazoxanide"	"CC(=O)Oc1ccccc1C(=O)Nc2ncc(s2)[N+](=O)[O-]"	"55981094"	"cas"	"FALSE"
"04eb665213f8ccb65d7a446d924a01d1"	"ERDAFITINIB"	"[NCGC00475735]"	"Fgfr 1/2/3/4 Inhibitor"	"[Fgfr 1/2/3/4 Inhibitor, Fibroblast Growth Factor Receptor 3 Inhibitor, Fibroblast Growth Factor Receptor 2 Inhibitor, Fibroblast Growth Factor Receptor 4 Inhibitor, Fibroblast Growth Factor Receptor 1 Inhibitor]"	"FGFR1"	"[Phase III, Phase II, Unknown]"	"[[2H]C([2H])([2H])n1cc(-c2cnc3ccc(N(CCNC(C)C)c4cc(OC)cc(OC)c4)cc3n2)cn1, COc1cc(OC)cc(N(CCNC(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1, [2H]C([2H])([2H])Oc1cc(OC)cc(N(CCNC(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1, COc1cc(OC)cc(N(CCNC(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1.Cl, [2H]C([2H])([2H])Oc1cc(OC([2H])([2H])[2H])cc(N(c2ccc3ncc(-c4cnn(C)c4)nc3c2)C([2H])([2H])C([2H])([2H])NC(C)C)c1]"	"1346242-81-6"	"781556"	"S"	""	"-1"	"FDA approved"	"0"	"0"	"PK:FGFR,FGFR1,FGFR2,FGFR3,FGFR4"	"jnj-42756493||balversa||erdafitinib"	"COc1cc(OC)cc(c1)N(CCNC(C)C)c2ccc3ncc(nc3c2)c4cnn(C)c4"	"1346242816"	"cas"	"FALSE"
"050b0bca7cc720fc3fb914457e73ad1d"	"Auranofin"	"[NCGC00685239, NCGC00381749, NCGC00261731, NCGC00186636, NCGC00160391]"	"Thioredoxin Reductase Inhibitor"	"[Thioredoxin Reductase Inhibitor, Thioredoxin Reductase Inhibitors, Ubiquitin C-terminal Hydrolase L5 Inhibitor, Ubiquitin C-terminal Hydrolase 14 Inhibitor]"	"TXNRD1"	"[Approved]"	"[CC(=O)OC[C@H]1O[C@@H](S[Au])[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O, CCP(CC)(CC)=[Au]S[C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O, CCP(CC)(CC)=[Au]S[C@H]1O[C@@H](COC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O]"	"34031-32-8"	"321521"	"S"	"auranofin"	"574276"	""	"0"	"0"	""	"auranofin||gold, (2,3,4,6-tetra-o-acetyl-1-thio-.beta.-d-glucopyran...||(1-thio-.beta.-d-glucopyranosato)(triethylphosphine)gold...||gold, (1-thio-.beta.-d-glucopyranosato)(triethylphosphin...||sk&f 39162"	"CCP(CC)(CC)[Au]SC1OC(COC(=O)C)C(OC(=O)C)C(OC(=O)C)C1OC(=O)C"	"34031328"	"cas"	"FALSE"
"05b971d943e94f52013948f0ebe60f98"	"ATORVASTATIN CALCIUM"	"[NCGC00160531, NCGC00390360, NCGC00159458, MLS001306452, NCGC00178617, NCGC00260759, NCGC00381738, NCGC00255845, NCGC00482521, NCGC00485003, NCGC00408820, NCGC00255181]"	"Hmg-coa Reductase Inhibitor"	"[Hmg-coa Reductase Inhibitor, Dipeptidyl Peptidase Iv Inhibitor, Fas Ligand Expression Inhibitor, Pregnane X Receptor Agonist]"	"HMGCR"	"[Unknown, Approved]"	"[CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O[Ca]OC(=O)C[C@H](O)C[C@H](O)CCn1c(-c2ccc(F)cc2)c(-c2ccccc2)c(C(=O)Nc2ccccc2)c1C(C)C, CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@H](O)C[C@@H](O)CC(=O)O, CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Ca+2], CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@H](O)C[C@H](O)CC(=O)[O-], CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+], CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].O.O.O.[Ca+2], CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-], CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)[O-], CC(C)c1c(C(=O)c2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-], CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O, CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O, CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O.CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O]"	"134523-03-8"	"758617, 779709"	"S, S"	"atorvastatin calcium (usan), ;H004;Atorvastatin calcium"	"144075640, -1"	", NULL"	"0, 0"	"0, 0"	", NULL"	"atorvastatin calcium (usan)||;atorvastatin calcium , ;h004;atorvastatin calcium||h004||atorvastatin calcium"	"c1(c(n(c(c1c1ccccc1)c1ccc(cc1)F)CC[C@H](C[C@H](CC(=O)O)O)O)C(C)C)C(=O)Nc1ccccc1.[Ca], CC(C)c1c(C(=O)Nc2ccccc2)c(c3ccccc3)c(c4ccc(F)cc4)n1CC[C@@H](O)C[C@@H](O)CC(=O)O"	"134523038, 134523038"	"cas, cas"	"TRUE, TRUE"
"06d54b0b8414d2b64cd2f86ad8462dda"	"Doxorubicin"	"[NCGC00014486, MLS002702107, NCGC00024415, NCGC00263492, MLS000028393, MLS001401460, NCGC00482968, MLS001401404, NCGC00482967, NCGC00260032, AB02540577, NCGC00016791, MLS001055359, NCGC00388530, NCGC00097590, NCGC00263901, NCGC00018159, NCGC00163543, NCGC00381729, NCGC00263918]"	"Dna Topoisomerase Ii Inhibitor"	"[Dna Topoisomerase Ii Inhibitor, Dna Topoisomerase Ii Inhibitors, Dna Crosslinking Agent, Dna Topoisomerase Ii Alpha Inhibitor, Dna Intercalating Drugs]"	"TOP2A"	"[Unknown, Approved]"	"[COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1.Cl, COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1, COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1, COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1, C[C@@H]1O[C@@H](O[C@H]2C[C@](O)(C(=O)CO)Cc3c(O)c4c(c(O)c32)C(=O)c2c(O[14CH3])cccc2C4=O)C[C@H](N)[C@@H]1O, COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@@H]1C[C@H](N)[C@@H](O)[C@H](C)O1, COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3OC1CC(N)C(O)C(C)O1, COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@](O)(C(=O)CO)C[C@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1, COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1, COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3OC1C[C@H](N)[C@H](O)[C@H](C)O1, COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1, COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.O=C(O)C(F)(F)F, COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1.Cl, COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@@H]1C[C@H](N)[C@H](O)[C@H](C)O1, COc1cccc2c(O)c3c(c(O)c12)C(=O)C1=C(C[C@@](O)(C(=O)CO)C[C@@H]1O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1)C3=O, COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)C[C@@H]3OC1CC(N)C(O)C(C)O1, COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3OC1C[C@@H](N)[C@H](O)[C@H](C)O1, COc1cccc2c(O)c3c(c(O)c12)C(=O)C1=C(C[C@@](O)(C(=O)CO)C[C@@H]1OC1CC(N)C(O)C(C)O1)C3=O, COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.Cl, COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@@H]1C[C@@H](N)[C@H](O)[C@@H](C)O1, COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@@H]1C[C@H](N)[C@H](O)[C@H](C)O1.Cl, COc1cccc2c(O)c3c(c(O)c12)C(=O)C1=C(C[C@@](O)(C(=O)CO)C[C@@H]1O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1)C3=O, COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1, COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1, COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@](O)(C(=O)CO)C[C@H]3O[C@@H]1C[C@H](N)[C@H](O)[C@H](C)O1, COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3OC1CC(N)C(O)C(C)O1.Cl]"	"25316-40-9"	"123127"	"S"	"Doxorubicin"	"-1"	"FDA approved"	"0"	"0"	"T2"	"adriblastin||adm hydrochloride||fi 6804||adriblastina||adr||l-lyxo-hexopyranoside, 3b-glycoloyl-1,2,3,4,6,11-hexahyd...||adriamycin, hydrochloride (8ci)||hydroxydaunorubicin hydrochloride||adriamycin, hydrochloride||adriamycin pfs (pharmacia)||doxorubicin hcl||5,12-naphthacenedione, 10-[(3-amino-2,3,6-trideoxy-.alph...||dox hcl||d0108||doxorubicin||adriamycin hydrochloride||doxorubicin hydrochloride||adriacin||fi 106||doxorubicin (usan)||Adriamycin (an anthracycline antibiotic)"	"COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](OC5CC(N)C(O)C(C)O5)c4c(O)c3C(=O)c12)C(=O)CO"	"25316409"	"cas"	"FALSE"
"071f516773d775ffcd7867db31c4a7c0"	"AZD-1775"	"[NCGC00263183]"	"Wee1 Kinase Inhibitor"	"[Wee1 Kinase Inhibitor, Wee1-like Protein Kinase Inhibitor, Wee1-like Protein Kinase 2 Inhibitor]"	"WEE1"	"[Phase II]"	"[C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1]"	"955365-80-7"	"754352"	"S"	"CT-MK1775"	"-1"	"Clinical trial"	"0"	"0"	"PK:STK,YK,WEE1"	"mk-1775 (wee-1)||a-1117||3h-pyrazolo[3,4-d]pyrimidin-3-one, 1,2-dihydro-1-[6-(1-h...||ct-mk1775||MK-1775"	"CN1CCN(CC1)c2ccc(Nc3ncc4C(=O)N(CC=C)N(c5cccc(n5)C(C)(C)O)c4n3)cc2"	"955365807"	"cas"	"FALSE"
