nsc	cas	drug_name	idsyn	idnci60	idsclc	matchsclc	diff	correct_index	eq	comments
754361	1036991-21-5	Astex FGF inhibitor	0	0	85	754361	85	85	TRUE	
761386	1218778-77-8	"LDE-225, diphosphonate salt"	0	0	1	761386;761385	1	1	TRUE	
758487	943319-70-8	Ponatinib	0	62	62	758487	0	62	TRUE	
758484	286942-97-0 	TLK-199	678	0	678	758484	0	678	TRUE	
628503	114977-28-5	Docetaxel	0	265	265	628503	0	265	TRUE	
762419	521064-34-6	CT-32228	231	0	231	762419	0	231	TRUE	
756657	742112-33-0	OSU-03012	516	516	516	756657	-516	516	TRUE	
180973	54965-24-1	Tamoxifen	0	658	658	180973	0	658	TRUE	
744009	171599-83-0	Sildenafil	0	0	630	744009	630	630	TRUE	
766908	219580-11-7	PD-173074	532	532	532	766908	-532	532	TRUE	
762382	1007207-67-1	CH-5132799	201	0	201	762382	0	201	TRUE	
761690	186392-40-5 	CP-91149	224	0	224	761690	0	224	TRUE	
758490	181630-15-9	AMD-473	50	0	50	758490	0	50	TRUE	
756648	935666-88-9	AZD-1480	100	0	100	756648	0	100	TRUE	
755772	152121-47-6	SB-203580	613	0	613	755772	0	613	TRUE	
755389	380843-75-4	Bosutinib isomer	0	0	164	755389	164	164	TRUE	
28841	2207-75-2	Oxonic Acid	0	0	521	28841	521	521	TRUE	
760843	453562-69-1	AMG-706	53	53	53	760843	-53	53	TRUE	
764516	475110-96-4	ZSTK-474	748	748	748	764516	-748	748	TRUE	
763579	912999-49-6	AT-13387	88	0	88	763579	0	88	TRUE	
754365	346689-77-8	MLN-576	481	0	481	754365	0	481	TRUE	
755926	865773-15-5	PF-03084014 diastereomer 2	0	0	541	755926	541	541	TRUE	
768069	934660-93-2	XL-518 (isomer 2)	0	0	723	768069	723	723	TRUE	
755774	62996-74-1	AM-2282	49	0	49	755774	0	49	TRUE	
764582	403811-55-2	10058-F4	0	0	0		0	0	TRUE	
754367	89459-25-6	XR-5000	731	0	731	754367	0	731	TRUE	
754354	929085-18-1	GSK-461364	336	0	336	754354	0	336	TRUE	
226080	53123-88-9	Rapamycin	0	590	590	226080	0	590	TRUE	
312887	75607-67-9	Fludarabine	0	305	305	312887	0	305	TRUE	
761188	911222-45-2	LY-2603618	442	0	442	761188	0	442	TRUE	
768071		enantiomer of PF-4176340	0	0	281	768071	281	281	TRUE	
758254	12101902-80-8	MLN-9708	482	0	482	758254	0	482	TRUE	
686288	165179-35-1	Aminoflavone	0	56	56	686288	0	56	TRUE	
92859	1327-53-3	Arsenic Trioxide	0	75	75	92859	0	75	TRUE	
762829	471905-41-6	MK-0752	467	0	467	762829	0	467	TRUE	
759657	875320-29-9	JNJ-26481585	389	0	389	759657	0	389	TRUE	
