SAMPLE_ID	original order	SAMPLE_NAME	PRIMARY_MOA	GENE_SYMBOL	SMILES_ISO	SUPPLIER	SUPPLIER_ID	drug	matching
NCGC00014650-07	1	Ansamitocin P3	Tubulin polymerization Inhibitor	TUBB	CO[C@@H]1/C=C/C=C(C)/CC2=CC(=C(Cl)C(=C2)OC)N(C)C(=O)C[C@H](OC(=O)C(C)C)[C@]3(C)O[C@@H]3[C@H](C)[C@@H]4C[C@@]1(O)NC(=O)O4	Levena Biopharma	T1009		
NCGC00016994-20	2	Camptothecin	DNA Topoisomerase I Inhibitor	TOP1	CC[C@@]1(O)C(=O)OC\C2=C1\C=C\3N(CC4=C3N=C5C=CC=CC5=C4)C2=O	Selleck	S1288	yes	gdsc
NCGC00024415-50	3	Doxorubicin	DNA Topoisomerase II Inhibitor	TOP2A	COC1=CC=CC2=C1C(=O)C3=C(O)C4=C(C[C@](O)(C[C@@H]4O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)C(=O)CO)C(=C3C2=O)O	Selleck	S1208	yes	gdsc
NCGC00167831-02	4	SN-38	DNA Topoisomerase I Inhibitor	TOP1	CCC1=C2CN3C(=O)\C4=C(/C=C3/C2=NC5=CC=C(O)C=C15)[C@@](O)(CC)C(=O)OC4	ChemieTek	CT-SN38	yes	synonym 13
NCGC00181129-08	5	Dasatinib	Bcr-Abl Inhibitor	ABL1	CC1=NC(=CC(=N1)NC2=NC=C(S2)C(=O)NC3=C(Cl)C=CC=C3C)N4CCN(CCO)CC4	Selleck	S1021	yes	gdsc
NCGC00263548-07	6	VINBLASTINE	Tubulin polymerization inhibitor	TUBB	CC[C@]1(O)C[C@H]2CN(CCC3=C([NH]C4=C3C=CC=C4)[C@@](C2)(C(=O)OC)C5=C(OC)C=C6N(C)[C@H]7[C@](O)([C@H](OC(C)=O)[C@]8(CC)\C=C/CN9CC[C@]7([C@H]89)C6=C5)C(=O)OC)C1	Microsource	MS-01500611	yes	gdsc
NCGC00319019-03	7	Nemorubicin	DNA Topoisomerase II Inhibitor	TOP2A	CO[C@@H]1CN(CCO1)[C@H]2C[C@@H](O[C@@H](C)[C@H]2O)O[C@H]3C[C@@](O)(CC4=C(O)C5=C(C(=C34)O)C(=O)C6=C(OC)C=CC=C6C5=O)C(=O)CO	Levena Biopharma	D4000		
NCGC00378609-03	8	Monomethyl Auristatin F TFA	Tubulin polymerization Inhibitor	NA	CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@@H](CC2=CC=CC=C2)C(O)=O)OC)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C	Levena Biopharma	T1006		
NCGC00379042-06	9	Monomethyl Auristatin E TFA	Tubulin polymerization Inhibitor	NA	CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@H](C)[C@@H](O)C2=CC=CC=C2)OC)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C	Levena Biopharma	T1004		
NCGC00390537-03	10	Auristatin F TFA	Tubulin polymerization Inhibitor	NA	CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@@H](CC2=CC=CC=C2)C(O)=O)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C)C(C)C	Levena Biopharma	T1005		
NCGC00390542-03	11	Auristatin E TFA	Tubulin polymerization Inhibitor	NA	CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@H](C)[C@@H](O)C2=CC=CC=C2)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C)C(C)C	Levena Biopharma	T1003		
NCGC00496767-02	12	Duocarmycin SA	DNA Alkylating Agent	NA	COC(=O)C1=CC2=C([NH]1)C(=CC3=C2C(CCl)CN3C(=O)C4=CC5=C([NH]4)C(=C(OC)C(=C5)OC)OC)O	Levena Biopharma	D1001		
NCGC00501276-02	13	PBD Dimer	DNA Binder - crosslinking	NA	COC1=CC=C(C=C1)C/2=C/N3[C@H](C2)\C=N/C4=CC(=C(OC)C=C4C3=O)OCCCOC5=CC\6=C(C=C5OC)C(=O)N7/C=C(C[C@@H]7\C=N6)/C8=CC=C(N)C=C8	Levena Biopharma	D4008		
NCGC00509115-01	14	Dolastatin 10 TFA salt	Tubulin polymerization Inhibitor	NA	CC[C@H](C)[C@@H]([C@H](N)CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@@H](CC2=CC=CC=C2)C3=NC=CS3)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C)C(C)C	Levena Biopharma	T1001		
NCGC00509116-01	15	alpha-Amanitin	RNA Polymerase II/III inhibitor	NA	CC[C@H](C)[C@@H]1NC(=O)CNC(=O)[C@H]2CC3=C([NH]C4=C3C=CC(=C4)O)[S+]([O-])C[C@H](NC(=O)CNC1=O)C(=O)N[C@@H](CC(N)=O)C(=O)N5C[C@H](O)C[C@H]5C(=O)N[C@@H]([C@@H](C)[C@@H](O)CO)C(=O)N2	Levena Biopharma	D4007		
