CCLE_Name	ID	ccle	GDSC	mdamills	new	original.order	TissueType	ccle2	OncoTree1	OncoTree2	OncoTree3	OncoTree4	EMT
769P_KIDNEY	769P	769-P				1	kidney: clear_cell_renal_cell_carcinoma	769-P	Kidney	Renal Cell Carcinoma (RCC)	Renal Clear Cell Carcinoma (CCRCC)	NA	Mesenchymal
786O_KIDNEY	786O	786-O				2	kidney: clear_cell_renal_cell_carcinoma	786-O	Kidney	Renal Cell Carcinoma (RCC)	Renal Clear Cell Carcinoma (CCRCC)	NA	Mesenchymal
A2780_OVARY	A2780	A2780				3	ovary: adenocarcinoma	A2780	Ovary	Ovarian Epithelial Tumor (OVT)	NA	NA	Mesenchymal
A375_SKIN	A375	A-375				4	skin: malignant_melanoma	A-375	Skin	Melanoma (MEL)	NA	NA	Mesenchymal
A427_LUNG	A427	A427				5	Lung	A427	Lung	NA	NA	NA	NA
A431_SKIN	A431	NA	A431			6	OTHER	A431	Other	NA	NA	NA	Epithelial
A549_LUNG	A549	A549				7	lung: non_small_cell_carcinoma	A549	Lung	Non-Small Cell Lung Cancer (NSCLC)	NA	NA	Mesenchymal
ACHN_KIDNEY	ACHN	ACHN				8	kidney: renal_cell_carcinoma	ACHN	Kidney	Renal Cell Carcinoma (RCC)	NA	NA	Mesenchymal
AGS_STOMACH	AGS	AGS				9	stomach: adenocarcinoma	AGS	Esophagus_Stomach	Esophagogastric Adenocarcinoma (EGC)	Stomach Adenocarcinoma (STAD)	NA	Epithelial
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AMO1	AMO-1				10	haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma	AMO-1	Blood	Multiple Myeloma (MM)	NA	NA	NA
BT20_BREAST	BT20	BT-20				11	breast: ductal_carcinoma	BT-20	Breast	Breast Carcinoma (BRCA)	Breast Invasive Ductal Carcinoma (IDC)	NA	Epithelial
BT474_BREAST	BT474	BT-474				12	breast: ductal_carcinoma	BT-474	Breast	Breast Carcinoma (BRCA)	Breast Invasive Ductal Carcinoma (IDC)	NA	Epithelial
