cell_name_ncats	disease_ncats	Cell_Name_source	TissueType_source	OncoTree1	OncoTree2	OncoTree3	OncoTree4	source	Comments
A-375	Amelanotic melanoma	A-375	skin: malignant_melanoma	Skin	Melanoma (MEL)	NA	NA	ccle	
A-549	Lung adenocarcinoma	A549	lung: non_small_cell_carcinoma	Lung	Non-Small Cell Lung Cancer (NSCLC)	NA	NA	ccle	
AMO1	Plasma cell myeloma	AMO-1	haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma	Blood	Multiple Myeloma (MM)	NA	NA	ccle	
Caco-2	Colon adenocarcinoma	CACO2	Esophagus_Stomach	Bowel	NA	NA	NA	ccle	need to be corrected in ccle to be Bowel?
CAL-27	Tongue squamous cell carcinoma	CAL 27	upper_aerodigestive_tract: squamous_cell_carcinoma	Head_Neck	NA	NA	NA	ccle	
Daudi	Epstein-Barr virus-related Burkitt lymphoma	Daudi	haematopoietic_and_lymphoid_tissue: Burkitt_lymphoma	Lymph	Non-Hodgkin's Lymphoma (NHL)	B-Cell Lymphoma (BCL)	Burkitt Lymphoma (BL)	ccle	
DB	Diffuse large B-cell lymphoma	DB	haematopoietic_and_lymphoid_tissue: diffuse_large_B_cell_lymphoma	Lymph	Non-Hodgkin's Lymphoma (NHL)	B-Cell Lymphoma (BCL)	Diffuse Large B-Cell Lymphoma (DLBCL)	ccle	
Detroit 562	Pharyngeal squamous cell carcinoma	Detroit 562	upper_aerodigestive_tract: carcinoma	Head_Neck	NA	NA	NA	ccle	
DLD-1	Colon adenocarcinoma	DLD-1	large_intestine: adenocarcinoma	Bowel	Colorectal Adenocarcinoma (COADREAD)	NA	NA	ccle	
DMS 114	Small cell lung carcinoma	DMS 114	lung: small_cell_carcinoma	Lung	Small Cell Lung Cancer (SCLC)	NA	NA	ccle	
DMS 79	Small cell lung carcinoma	DMS 79	lung: small_cell_carcinoma	Lung	Small Cell Lung Cancer (SCLC)	NA	NA	ccle	
DoHH2	Diffuse large B-cell lymphoma germinal center B-cell type	DOHH-2	haematopoietic_and_lymphoid_tissue: diffuse_large_B_cell_lymphoma	Lymph	Non-Hodgkin's Lymphoma (NHL)	B-Cell Lymphoma (BCL)	Diffuse Large B-Cell Lymphoma (DLBCL)	ccle	
DU145	Prostate carcinoma	DU 145	prostate: carcinoma	Prostate	NA	NA	NA	ccle	
EJM	Plasma cell myeloma	EJM	haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma	Blood	Multiple Myeloma (MM)	NA	NA	ccle	
EoL-1	"Chronic eosinophilic leukemia, not otherwise specified"	EOL-1	haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia	Blood	Leukemia (LEUK)	Acute Myeloid Leukemia (AML)	NA	ccle	
EW-8	Ewing sarcoma	EW8	bone: Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	Bone	Ewing Sarcoma (ES)	NA	NA	ccle	
GDM-1	Adult acute myeloid leukemia	GDM-1	haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia	Blood	Leukemia (LEUK)	Acute Myeloid Leukemia (AML)	NA	ccle	
HCC1937	Ductal breast carcinoma	HCC1937	breast: ductal_carcinoma	Breast	Breast Carcinoma (BRCA)	Breast Invasive Ductal Carcinoma (IDC)	NA	ccle	
HCT 116	Colon carcinoma	HCT 116	large_intestine: carcinoma	Bowel	NA	NA	NA	ccle	
HDLM-2	Hodgkin lymphoma	HDLM-2	haematopoietic_and_lymphoid_tissue: Hodgkin_lymphoma	Lymph	Hodgkin's Lymphoma (HL)	NA	NA	ccle	
HEL 92.1.7	Erythroleukemia	HEL 92.1.7	haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia	Blood	Leukemia (LEUK)	Acute Myeloid Leukemia (AML)	NA	ccle	
HNT-34	Adult acute myeloid leukemia	HNT34	Lymph	Lymph	NA	NA	NA	ccle	
HT-1080	Fibrosarcoma	HT-1080	soft_tissue: fibrosarcoma	Soft_Tissue	Fibrosarcoma (FIBS)	NA	NA	ccle	
HuT 102	Mycosis fungoides and Sezary syndrome	HuT 102	haematopoietic_and_lymphoid_tissue: mycosis_fungoides-Sezary_syndrome	Lymph	Non-Hodgkin's Lymphoma (NHL)	T-Cell and Natural Killer Lymphoma (TNKL)	NA	ccle	
HuT 78	Mycosis fungoides and Sezary syndrome	HuT 78	haematopoietic_and_lymphoid_tissue: mycosis_fungoides-Sezary_syndrome	Lymph	Non-Hodgkin's Lymphoma (NHL)	T-Cell and Natural Killer Lymphoma (TNKL)	NA	ccle	
IMR-32	Neuroblastoma	IMR-32	autonomic_ganglia: neuroblastoma	Brain_CNS	Embryonal Tumor (EMBT)	Neuroblastoma (NBL)	NA	ccle	
JJN-3	Plasma cell myeloma	JJN-3	haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma	Blood	Multiple Myeloma (MM)	NA	NA	ccle	
Karpas-620	Plasma cell myeloma	KARPAS-620	haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma	Blood	Multiple Myeloma (MM)	NA	NA	ccle	
KM-H2	Hodgkin lymphoma	KM-H2	haematopoietic_and_lymphoid_tissue: Hodgkin_lymphoma	Lymph	Hodgkin's Lymphoma (HL)	NA	NA	ccle	
