SEED	BEST_MATCH_SCORE	MATCH_1	MATCH_2	MATCH_3
NCI-H2171	0.0222222222222223	NCI-H211	NCI-H1781	NCI-H2172
MZ2-MEL.	0.025	MZ2-MEL	MZ1-PC	G-MEL
C-4-II	0.0333333333333333	C-4-I	CL-40	CL-34
MDA-MB-435	0.0400000000000001	MDA-MB-436	MDA-MB-330	MONO-MAC-1
NCI-H1437	0.0444444444444445	NCI-H1734	NCI-H1435	NCI-H1417
NCI-H1522	0.0444444444444445	NCI-H3122	NCI-H2172	NCI-H2122
NCI-H1618	0.0444444444444445	NCI-H1648	NCI-H1688	NCI-H1568
NCI-H1930	0.0444444444444445	NCI-H1963	NCI-H196	NCI-H1915
NCI-H2081	0.0444444444444445	NCI-H2085	NCI-H211	NCI-H841
NCI-H2107	0.0444444444444445	NCI-H2172	NCI-H2110	NCI-H187
NCI-H157	0.05	NCI-H187	NCI-H1915	NCI-H1581
NCI-H460	0.05	NCI-H740	NCI-H660	NCI-H69
COR-L51	0.0571428571428571	COR-L95	COR-L321	COR-L311
BC-3	0.0666666666666668	SBC-3	EBC-1	CL-34
COLO-720E	0.0694444444444445	COLO-320	COLO-783	COLO-829
NCI-H2330	0.0694444444444445	NCI-H2023	NCI-H720	NCI-H1623
NCI-H295	0.0694444444444445	NCI-H1915	NCI-H2135	NCI-H2085
NCI-H508	0.0694444444444445	NCI-H1581	NCI-H1568	NCI-H2085
NCI-H889	0.0694444444444445	NCI-H1688	NCI-H1869	NCI-H69
SCCH-26	0.0785714285714286	SCCH-196	CHP-126	SCC90
786-0	0.08	786-o	H2869	H2803
RERF-LC-FM	0.08	RERF-LC-KJ	RERF-LC-Sq1	RERF-GC-1B
B2-17	0.0857142857142857	BE2-M17	GB-1	EBC-1
NCI-N417	0.098015873015873	NCI-H1417	NCI-H187	NCI-H841
TCO-1	0.106666666666667	TC-71	TOV-21G	TOV-112D
HuH-28	0.106666666666667	huH-1	JHU-028	JHH-2
COR-L96CAR	0.108571428571429	COR-L95	COR-L32	COR-L321
OMC-1	0.11	OCUM-1	MEC-1	OACM5-1
TE-161-T	0.116666666666667	TE-441-T	TE-4	HT-115
VMRC-MELG	0.116666666666667	VMRC-LCD	MZ2-MEL	KMRC-1
LAN-1	0.12	LN-18	ML-1	GA-10
KMS-12-PE	0.122222222222222	KMS-11	KYM-1	KMRC-1
GA-10-Clone-20	0.128571428571429	GA-10	G-292-Clone-A141B1	GB-1
DV-90	0.133333333333333	OV-90	Hs-940-T	DAN-G
AML-193	0.142857142857143	ML-1	AMO-1	MOLM-13
KP-N-YS	0.146666666666667	KP-1N	SK-N-SH	KP-3
KP-N-S19s	0.15037037037037	KP-1N	KP-3	KP-2
LS-174T	0.152380952380952	LS-180	Hs746T	ML-1
Calu-1	0.155555555555556	CAL-29	CAL-78	CL-11
MC-IXC	0.155555555555556	MC-CAR	MEC-2	MEC-1
MDA-MB-175-VII	0.16	MDA-MB-330	MDA-MB-436	ML-1
MC-1010	0.167619047619048	MC116	MEC-1	CL-11
CP67-MEL	0.173333333333333	CP50-MEL-B	G-MEL	MZ2-MEL
HUH-6-clone5	0.173333333333333	huH-1	JHH-6	G-292-Clone-A141B1
NALM-1	0.177777777777778	AMO-1	ML-1	MOLM-13
HT	0.177777777777778	HT-115	YT	Hey
SNB19	0.186666666666667	SNB75	SNU-61	SNU-81
SCLC-21H	0.186666666666667	Sci-1	SCCH-196	PL-21
Malme-3M	0.198214285714286	MOLM-13	MLMA	ML-1
KP-N-RT-BM-1	0.202222222222222	KP-1N	KP-3	KP-2
NCI-ADR-RES	0.212987012987013	NCI-H69	NCI-H187	NCI-H740
HuNS1	0.213333333333333	huH-1	JHU-011	LOU-NH91
NH-6	0.216666666666667	JHH-6	NCI-H647	NCI-H660
MHH-ES-1	0.220238095238095	SK-ES-1	JHH-1	huH-1
Caov-3	0.222222222222222	CADO-ES1	COR-L32	OV-7
MUTZ-1	0.222222222222222	JIMT-1	ML-1	ME-1
RTSG	0.222222222222222	RT4	ROS-50	RCC-FG2
CRO-AP5	0.231428571428571	COR-L95	ROS-50	VCaP
LAN-5	0.24	LN-18	DAN-G	GRANTA-519
TI-73	0.24	TC-71	NCI-H1734	IGR-37
TALL-1	0.24	TASK1	ML-1	ALL-SIL
380	0.244444444444444	8305C	A388	H2803
NB16	0.253333333333333	NB-TU-1-10	NCI-H1623	NCI-H1648
NB19	0.253333333333333	NB-TU-1-10	NCI-H196	NCI-H1915
DMS-153	0.253968253968254	KMS-11	ML-1	ME-1
PD1503a	0.257142857142857	PCI-15A	DOV13	PL18
BL-70	0.266666666666667	CL-40	BT-474	LS-180
PLC-PRF-5	0.284444444444444	PL-21	PCI-15A	PL4
D-245MG	0.291428571428571	DAN-G	DND-41	42-MG-BA
D-397MG	0.291428571428571	DAN-G	IOSE-397	IGR-37
D-538MG	0.291428571428571	DAN-G	PCI-38	SNU-398
SW403	0.291428571428571	SNU-407	ES4	SW756
WERI-Rb-1	0.296296296296296	EMC-BAC-1	RWPE-1	RERF-GC-1B
MJ	0.3	Mo	Mo-T	ML-1
GOTO-P3	0.30952380952381	COLO-320	COLO-783	BT-483
Gp2D	0.333333333333333	KP-2	QGP-1	PL-21
ITO-II	0.333333333333333	T-T	SUIT-2	JIMT-1
D-384MED	0.3375	DND-41	G-MEL	CL-34
D-458MED	0.3375	DND-41	G-MEL	BT-483
D-556MED	0.341666666666667	G-MEL	K-562	OV-56
