"stripped_cell_line_name"	"CCLE_Name"	"Alias"	"COSMICID"	"sex"	"source"	"Achilles_n_replicates"	"cell_line_NNMD"	"culture_type"	"culture_medium"	"cas9_activity"	"RRID"	"sample_collection_site"	"primary_or_metastasis"	"primary_disease"	"Subtype"	"age"	"Sanger_Model_ID"	"depmap_public_comments"	"lineage"	"lineage_subtype"	"lineage_sub_subtype"	"lineage_molecular_subtype"	"depmap_id"	"cdb.name"	"TissueType"	"OncoTree1"	"OncoTree2"	"OncoTree3"	"OncoTree4"	"EMT"	"NAPY"	"TNBC"
"143B"	"143B_BONE"	""	NA	"Female"	"ATCC"	1	-4.611524	"Adherent"	"MEM + 10% FBS + 15ug/ml 5-BrdU"	"11"	"CVCL_2270"	"bone"	"Primary"	"Bone Cancer"	"Osteosarcoma"	13	"SIDM00804"	""	"bone"	"osteosarcoma"	""	""	"ACH-001001"	"143B"	"bone: osteosarcoma"	"Bone"	"Osteosarcoma (OS)"	NA	NA	"Mesenchymal"	NA	NA
"2313287"	"2313287_STOMACH"	""	910924	"Male"	"DSMZ"	2	-4.339058	"Mixed adherent and suspension"	"RPMI + 10% FBS + 2mM Glutamine"	"5.9"	"CVCL_1046"	"stomach"	"Primary"	"Gastric Cancer"	"Adenocarcinoma"	72	"SIDM00980"	""	"gastric"	"gastric_adenocarcinoma"	""	""	"ACH-000948"	"23132/87"	"stomach: adenocarcinoma"	"Esophagus_Stomach"	"Esophagogastric Adenocarcinoma (EGC)"	"Stomach Adenocarcinoma (STAD)"	NA	"Epithelial"	NA	NA
"253J"	"253J_URINARY_TRACT"	""	NA	"Male"	"KCLB"	1	-3.1803794	"Adherent"	"DMEM + 10% FBS"	"11"	"CVCL_7935"	"lymph_node"	"Metastasis"	"Bladder Cancer"	"Carcinoma"	53	""	""	"urinary_tract"	"bladder_carcinoma"	""	""	"ACH-000011"	"253J"	"urinary_tract: transitional_cell_carcinoma"	"Bladder_Urinary_Tract"	"Bladder Urothelial Carcinoma (BLCA)"	NA	NA	"Epithelial-Mesenchymal"	NA	NA
"42MGBA"	"42MGBA_CENTRAL_NERVOUS_SYSTEM"	""	687561	"Male"	"DSMZ"	2	-3.904624	"Adherent"	"RPMI:MEM (1:1) + 20% FBS"	"27.4"	"CVCL_1798"	"central_nervous_system"	"Primary"	"Brain Cancer"	"Astrocytoma"	63	"SIDM00982"	""	"central_nervous_system"	"glioma"	"astrocytoma"	""	"ACH-000323"	"42-MG-BA"	"central_nervous_system: astrocytoma_Grade_IV"	"Brain_CNS"	"Diffuse Glioma (DIFG)"	"Astrocytoma (ASTR)"	NA	"Mesenchymal"	NA	NA
"5637"	"5637_URINARY_TRACT"	""	687452	"Male"	"ATCC"	2	-4.0535572	"Mixed adherent and suspension"	"RPMI + 10% FBS"	"4.9"	"CVCL_0126"	"urinary_tract"	""	"Bladder Cancer"	""	68	"SIDM00807"	""	"urinary_tract"	"bladder_carcinoma"	""	""	"ACH-000905"	"5637"	"urinary_tract: carcinoma"	"Bladder_Urinary_Tract"	NA	NA	NA	"Epithelial"	NA	NA
"59M"	"59M_OVARY"	""	NA	"Female"	"ECACC"	2	-3.6599725	"Adherent"	"DMEM + 10% FBS + 2mM Glutamine + Sodium pyruvate + Insulin-Transferrin-Selenium"	"5.7"	"CVCL_2291"	"ascites"	"Metastasis"	"Ovarian Cancer"	"Adenocarcinoma, high grade serous"	NA	""	""	"ovary"	"ovary_adenocarcinoma"	"high_grade_serous"	""	"ACH-000520"	"59M"	"ovary: carcinoma"	"Ovary"	"Ovarian Epithelial Tumor (OVT)"	NA	NA	"Mesenchymal"	NA	NA
"639V"	"639V_URINARY_TRACT"	""	906798	"Male"	"ATCC"	1	-5.77221	"Adherent"	"DMEM + 10% FBS"	"20.3"	"CVCL_1048"	"urinary_tract"	"Primary"	"Bladder Cancer"	"Transitional Cell Carcinoma"	69	"SIDM00999"	""	"urinary_tract"	"bladder_carcinoma"	"bladder_transitional_cell"	""	"ACH-000973"	"639-V"	"urinary_tract: transitional_cell_carcinoma"	"Bladder_Urinary_Tract"	"Bladder Urothelial Carcinoma (BLCA)"	NA	NA	"Mesenchymal"	NA	NA
"647V"	"647V_URINARY_TRACT"	""	906797	"Male"	"DSMZ"	2	-4.6243459	"Adherent"	"DMEM + 15% FBS + 2mM Glutamax"	"14.2"	"CVCL_1049"	"urinary_tract"	"Primary"	"Bladder Cancer"	"Carcinoma"	NA	"SIDM00983"	""	"urinary_tract"	"bladder_carcinoma"	""	""	"ACH-000896"	"647-V"	"urinary_tract: transitional_cell_carcinoma"	"Bladder_Urinary_Tract"	"Bladder Urothelial Carcinoma (BLCA)"	NA	NA	"Epithelial"	NA	NA
"697"	"697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	""	906800	"Male"	"DSMZ"	2	-3.4631431	"Suspension"	"RPMI + 20% heat inactivated FBS"	"48"	"CVCL_0079"	"bone_marrow"	"Primary"	"Leukemia"	"Acute Lymphoblastic Leukemia (ALL), B-cell"	12	"SIDM01076"	""	"blood"	"ALL"	"b_cell"	""	"ACH-000070"	"697"	"haematopoietic_and_lymphoid_tissue: acute_lymphoblastic_B_cell_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Lymphoid Leukemia (ALL)"	NA	NA	NA	NA
"769P"	"769P_KIDNEY"	""	910922	"Female"	"ATCC"	2	-3.2557886	"Adherent"	"RPMI + 10% FBS"	"16.7"	"CVCL_1050"	"kidney"	"Primary"	"Kidney Cancer"	"Renal Carcinoma, clear cell"	63	"SIDM00803"	""	"kidney"	"renal_cell_carcinoma"	"clear_cell"	""	"ACH-000411"	"769-P"	"kidney: clear_cell_renal_cell_carcinoma"	"Kidney"	"Renal Cell Carcinoma (RCC)"	"Renal Clear Cell Carcinoma (CCRCC)"	NA	"Mesenchymal"	NA	NA
