gb	nci	DTP	CCLE	GDSC	CTRP	RPPA	note1	note2
A204	A-204	1	1	1	1	1		
A673	A-673	1	1	1	1	1		
ASPS1	ASPS-1	1	0	0	0	0		
CHA59	CHA-59	1	0	0	0	0		
CHLA10	CHLA-10	1	0	0	0	1		
CHLA25	CHLA-25	1	0	0	0	0		
CHLA258	CHLA-258	1	0	0	0	1		
CHLA32	CHLA-32	1	0	0	0	0		
CHLA9	CHLA-9	1	0	0	0	1		
CHP100	CHP-100	1	0	0	0	0		
COGE352	COG-E-352	1	0	0	0	0		
DDLS	DDLS	1	0	0	0	0		
ES1	ES-1	1	0	1	0	0		
ES2	ES-2	1	0	0	0	1		
ES3	ES-3	1	0	1	0	0		
ES4	ES-4	1	0	0	0	0		
ES6	ES-6	1	0	1	0	0		
ES7	ES-7	1	0	1	0	0		
ES8	ES-8	1	0	1	0	0		
EW8	EW8	1	1	1	0	0		
G401	G-401	1	0	0	0	0		
HOS	HOS	1	1	1	1	1		
Hs706T	Hs 706.T	1	0	0	0	0		
Hs729	Hs 729	1	1	0	1	0		
Hs913T	Hs 913.T	1	0	0	0	0		
HSSYII	HSSY-II	1	0	0	0	0		
HT1080	HT-1080	1	1	1	1	1		
Hu09	Hu09	1	0	1	0	0		
JJ012	JJ012	1	0	0	0	0		
KHOSNP	KHOS NP	1	0	0	0	0		
KHOS240S	KHOS-240S	1	0	0	0	1		
KHOS312H	KHOS-312H	1	0	0	0	1		
LS141	LS141	1	0	0	0	0		
MESSA	MES-SA	1	1	0	1	1		
MESSADx5	MES-SA Dx5	1	0	0	0	0		
MHM25	MHM-25	1	0	0	0	0		
MHM8	MHM-8	1	0	0	0	0		
MPNST	MPNST	1	0	0	0	0		
NHDF	NHDF	1	0	0	0	0		
OHS	OHS	1	0	0	0	0		
RD	RD	1	1	1	1	1		
RDES	RD-ES	1	1	1	1	1		
Rh18	Rh18	1	1	1	1	0		
Rh28	Rh28	1	0	0	0	1		
RH28PX11LPAM	Rh28 PX11/LPAM	1	0	0	0	0		
Rh30	Rh30	1	0	0	0	0		
Rh36	Rh36	1	0	0	0	0		
Rh41	Rh41	1	0	0	0	0		
SAOS2	SAOS-2	1	1	1	1	0		
RMS13	SJCRH30(RMS 13)	1	1	1	0	0		
SJSA1	SJSA-1	1	1	0	1	1		
SKES1	SK-ES-1	1	1	1	1	1		
SKLMS1	SK-LMS-1	1	1	0	1	1		
SKNMC	SK-N-MC	1	1	0	1	0		
SKUT1	SK-UT-1	1	1	1	1	1		
SKUT1B	SK-UT-1B	1	0	0	0	0		
SkMC	SkMC	1	0	0	0	0		
ST8814	ST8814	1	0	0	0	0		
SW1353	SW 1353	1	1	0	1	1		
SW684	SW 684	1	0	0	0	0		
SW982	SW 982	1	0	0	0	1		
SYO1	SYO-1	1	0	0	0	0		
TC32	TC-32	1	1	0	0	1		
TC71	TC-71	1	1	1	1	1		
U2OS	U-2 OS	1	1	1	1	1		
VAESBJ	VA-ES-BJ	1	0	0	0	1		
Rh1	RH1	0	0	1	0	0	RH-1	gdscDataDec15
Rh4	Rh4	0	0	0	0	0		
RMS559	RMS559	0	0	0	0	0		
SMSCTR	SMS CTR	0	0	0	0	0	SMSCTR	MDAMILS
