,COSMIC.identifier,Sample.Name,Sample.Name.Old,Whole.Exome.Sequencing..WES.,Copy.Number.Alterations..CNA.,Gene.Expression,Methylation,Drug.Response,GDSC.Tissue.descriptor.1,GDSC.Tissue.descriptor.2,Cancer.Type..matching.TCGA.label.,Microsatellite..instability.Status..MSI.,Screen.Medium,Growth.Properties,Name,TissueType,OncoTree1,OncoTree2,OncoTree3,OncoTree4,EMT,NAPY,TNBC,CellosaurusID
1,683667,PFSK-1,PFSK-1,Y,Y,Y,Y,Y,nervous_system,medulloblastoma,MB,MSS/MSI-L,R,Adherent,PFSK-1,OTHER,Brain_CNS,Embryonal Tumor (EMBT),Medulloblastoma (MBL),NA,Mesenchymal,NA,NA,
2,684052,A673,A673,Y,Y,Y,Y,Y,soft_tissue,rhabdomyosarcoma,,MSS/MSI-L,D/F12,Adherent,A673,NA,Soft_Tissue,Rhabdomyosarcoma (RMS),NA,NA,Mesenchymal,NA,NA,
3,684057,ES5,ES5,Y,Y,Y,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Adherent,ES5,NA,Bone,Ewing Sarcoma (ES),NA,NA,Mesenchymal,NA,NA,
4,684059,ES7,ES7,Y,Y,Y,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Adherent,ES7,NA,Bone,Ewing Sarcoma (ES),NA,NA,Mesenchymal,NA,NA,
5,684062,EW-11,EW-11,Y,Y,Y,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Adherent,EW-11,NA,Bone,Ewing Sarcoma (ES),NA,NA,Mesenchymal,NA,NA,
6,684072,SK-ES-1,SK-ES-1,Y,Y,Y,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Semi-Adherent,SK-ES-1,NA,Bone,Ewing Sarcoma (ES),NA,NA,Mesenchymal,NA,NA,
7,687448,COLO-829,COLO-829,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent,COLO-829,SKCM,Skin,Melanoma (MEL),NA,NA,Mesenchymal,NA,NA,
8,687452,5637,5637,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,R,Adherent,5637,BLCA,Bladder_Urinary_Tract,NA,NA,NA,Epithelial,NA,NA,
9,687455,RT4,RT4,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent,RT4,BLCA,Bladder_Urinary_Tract,Bladder Urothelial Carcinoma (BLCA),NA,NA,Epithelial,NA,NA,
10,687457,SW780,SW780,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent,SW780,BLCA,Bladder_Urinary_Tract,Bladder Urothelial Carcinoma (BLCA),NA,NA,Epithelial,NA,NA,
11,687459,TCCSUP,TCCSUP,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent,TCCSUP,BLCA,Bladder_Urinary_Tract,Bladder Urothelial Carcinoma (BLCA),NA,NA,Mesenchymal,NA,NA,
12,687505,C-33-A,C-33-A,Y,Y,Y,Y,Y,urogenital_system,cervix,CESC,MSI-H,D/F12,Adherent,C-33-A,CESC,Cervix,NA,NA,NA,Mesenchymal,NA,NA,
