cgp	ccle	nci60
DMS-53	DMS 53	
SW1116	SW1116	
UM-UC-3	UM-UC-3	
HOS	HOS	
RVH-421	RVH-421	
HCC2157	HCC2157	
NCI-H2227	NCI-H2227	
COLO-205	COLO 205	CO:COLO205
SNU-449	SNU-449	
NCI-H28	NCI-H28	
KYSE-450	KYSE-450	
P31-FUJ	P31/FUJ	
SF126	SF126	
SNG-M	SNG-M	
NCI-H2347	NCI-H2347	
SW1990	SW 1990	
HT-1080	HT-1080	
NCI-H2087	NCI-H2087	
NCI-H510A	NCI-H510	
CAKI-1	Caki-1	RE:CAKI_1
NCI-H716	NCI-H716	
NCI-H2029	NCI-H2029	
C3A	C3A	
LU-65	LU65	
MSTO-211H	MSTO-211H	
Raji	Raji	
SUP-T1	SUP-T1	
5637	5637	
HCC38	HCC38	
DU-4475	DU4475	
NCI-H1573	NCI-H1573	
NCI-H1651	NCI-H1651	
SK-UT-1	SK-UT-1	
MDA-MB-175-VII	MDA-MB-175-VII	
Becker	Becker	
NCI-H226	NCI-H226	LC:NCI_H226
NCI-H1666	NCI-H1666	
SW1783	SW 1783	
IST-MES1	IST-MES1	
NCI-H2342	NCI-H2342	
TI-73	T1-73	
NCI-H2291	NCI-H2291	
T47D	T-47D	BR:T47D
TE-10	TE-10	
SK-MEL-28	SK-MEL-28	ME:SK_MEL_28
BHY	BHY	
CGTH-W-1	CGTH-W-1	
LS-123	LS123	
HEL	HEL	
RCC10RGB	RCC10RGB	
TE-6	TE-6	
BL-41	BL-41	
COR-L105	COR-L105	
COLO-668	COLO 668	
OS-RC-2	OS-RC-2	
KP-N-RT-BM-1	KP-N-RT-BM-1	
EC-GI-10	EC-GI-10	
CW-2	CW-2	
HEC-1	HEC-1-B	
TGBC11TKB	TGBC11TKB	
TE-8	TE-8	
NCI-H838	NCI-H838	
TALL-1	TALL-1	
ECC12	ECC12	
MDA-MB-231	MDA-MB-231	BR:MDA_MB_231
RS4-11	RS4;11	
OVCAR-4	OVCAR-4	OV:OVCAR_4
HCT-15	HCT-15	CO:HCT_15
SW1463	SW1463	
SF295	SF-295	CNS:SF_295
WM-115	WM-115	
OE33	OE33	
SJSA-1	SJSA-1	
NCI-H2228	NCI-H2228	
SK-MES-1	SK-MES-1	
NCI-H520	NCI-H520	
COLO-800	COLO-800	
J82	J82	
Calu-6	Calu-6	
SK-LU-1	SK-LU-1	
SW900	SW 900	
UACC-62	UACC-62	ME:UACC_62
MFE-280	MFE-280	
MFE-296	MFE-296	
GI-1	GI-1	
PC-14	PC-14	
KYSE-410	KYSE-410	
A204	A-204	
NCI-H810	NCI-H810	
RERF-LC-MS	RERF-LC-MS	
NCI-H460	NCI-H460	LC:NCI_H460
KYSE-140	KYSE-140	
KYSE-180	KYSE-180	
HuP-T3	HUP-T3	
GCIY	GCIY	
Caov-4	Caov-4	
HCC2218	HCC2218	
K052	KO52	
KNS-81-FD	KNS-81	
LU-99A	LU99	
MKN1	MKN1	
HSC-2	HSC-2	
HuH-7	HuH-7	
