DRUG_NAME	STD_NAME	nci60	ccle	gdscDec15	ctrp	nciSclc	PUBCHEM_NAME
LDE-225	Sonidegib	NA	NA	NA	NA	NA	Erismodegib;Sonidegib;LDE225;956697-53-3;NVP-LDE225
(+)-JQ1	JQ1	NA	NA	NA	NA	NA	1268524-70-4;(+)-JQ-1;JQ1 compound;(S)-tert-butyl 2-(4-(4-chlorophenyl)-2,3,9-triMethyl-6H-thieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]diazepin-6-yl)acetate;UNII-1MRH0IMX0W
(5Z)-7-OXOZEAENOL	NA	NA	NA	NA	NA	NA	5Z-7-Oxozeaenol;(5Z)-7-Oxozeaenol;LL-Z1640-2;CHEBI:67559;CHEMBL1077979
1-METHYL-[D]-TRYPTOPHAN	NA	NA	NA	NA	NA	NA	NA
17-AAG	Tanespimycin	NA	NA	NA	NA	NA	Tanespimycin;17-AAG;17-Allylaminogeldanamycin;17-(Allylamino)-17-demethoxygeldanamycin;NSC-330507
17-DMAG	NA	NA	NA	NA	NA	NA	alvespimycin;17-DMAG;UNII-001L2FE0M3;CHEBI:65324;KOS-1022
2-FLUOROADENOSINE	NA	NA	NA	NA	NA	NA	2-Fluoroadenosine;146-78-1;ADENOSINE, 2-FLUORO-;2-Far;2-Fas
3-AP	Triapine	NA	NA	NA	NA	NA	Triapine;3-Apct;236392-56-6;Pan 811;C7H9N5S
3-BROMOPYRUVATE (ACID)	3-BROMOPYRUVATE	NA	NA	NA	NA	NA	NA
3-BROMOPYRUVIC ACID	NA	NA	NA	NA	NA	NA	NA
5-FLUOROURACIL	NA	NA	NA	NA	NA	NA	5-Fluorouracil;fluorouracil;51-21-8;5-FU;Fluoroplex
6-MERCAPTOPURINE	NA	NA	NA	NA	NA	NA	6-Mercaptopurine;mercaptopurine;50-44-2;Purinethol;Mercapurin
6-THIOGUANINE	NA	NA	NA	NA	NA	NA	6-Thioguanine;thioguanine;Tioguanine;154-42-7;2-Amino-6-mercaptopurine
7-ETHYL-10-HYDROXYCAMPTOTHECIN	NA	NA	NA	NA	NA	NA	7-Ethyl-10-hydroxycamptothecin;86639-52-3;SN-38;SN 38 lactone;7-Ethyl-10-hydroxy-camptothecin
7-HYDROXYSTAUROSPORINE	NA	NA	NA	NA	NA	NA	7-Hydroxystaurosporine;UCN-01;Ucn 01;UCN01;1okz
7-TERT-BUTYLDIMETHYLSILYL-10-HYDROXYCAMPTOTHECIN	NA	NA	NA	NA	NA	NA	NA
8-CHLORO-ADENOSINE	NA	NA	NA	NA	NA	NA	8-Chloroadenosine;UNII-PA05MFH3I7;Adenosine, 8-chloro-;34408-14-5;AK481203
A-443654	NA	NA	NA	NA	NA	NA	A-443654;A 443654;552325-16-3;(2s)-1-(1h-Indol-3-Yl)-3-{[5-(3-Methyl-1h-Indazol-5-Yl)pyridin-3-Yl]oxy}propan-2-Amine;5-{5-[(2S)-2-amino-3-(1H-indol-3-yl)propoxy]pyridin-3-yl}-3-methyl-1H-indazole
A-770041	NA	NA	NA	NA	NA	NA	A-770041;UNII-U9855G2ZPR;869748-10-7;CHEMBL197603;U9855G2ZPR
AB-1010	Masitinib	NA	NA	NA	NA	NA	Masitinib;790299-79-5;AB1010;AB-1010;Masatinib
ABIRATERONE	NA	NA	NA	NA	NA	NA	Abiraterone;154229-19-3;(3beta)-17-(3-pyridinyl)-androsta-5,16-dien-3-ol;17-(3-Pyridyl)androsta-5,16-dien-3beta-ol;CB 7598
ABT-199	Venetoclax	NA	NA	NA	NA	NA	ABT-199;1257044-40-8;Venetoclax;Venclexta;ABT199
ABT-263	Navitoclax	NA	NA	NA	NA	NA	Navitoclax;ABT-263;923564-51-6;ABT 263;ABT263
ABT-348	Ilorasertib	NA	NA	NA	NA	NA	ILORASERTIB;ABT-348;Ilorasertib [USAN];UNII-6L5D03D975;1227939-82-3
ABT-737	NA	NA	NA	NA	NA	NA	ABT-737;852808-04-9;ABT 737;ABT737;UNII-Z5NFR173NV
ABT-869	Linifanib	NA	NA	NA	NA	NA	Linifanib;ABT-869;796967-16-3;ABT 869;1-(4-(3-amino-1H-indazol-4-yl)phenyl)-3-(2-fluoro-5-methylphenyl)urea
ABT-888	Veliparib	NA	NA	NA	NA	NA	Veliparib;912444-00-9;ABT 888;ABT-888;ABT888
AC-220	Quizartinib	NA	NA	NA	NA	NA	Quizartinib;950769-58-1;AC220;Quizartinib (AC220);AC-220
AC220	Quizartinib	NA	NA	NA	NA	NA	Quizartinib;950769-58-1;AC220;Quizartinib (AC220);AC-220
ACETALAX	NA	NA	NA	NA	NA	NA	OXYPHENISATIN ACETATE;Contax;Acetophenolisatin;Acetalax;Brocatine
ACRICHINE	NA	NA	NA	NA	NA	NA	quinacrine;mepacrine;atabrine;Acrinamine;Acriquine
ACTINOMYCIN D	NA	NA	NA	NA	NA	NA	NA
ACY-1215	NA	NA	NA	NA	NA	NA	ACY-1215;1316214-52-4;Ricolinostat;Rocilinostat;2-(Diphenylamino)-N-(7-(hydroxyamino)-7-oxoheptyl)pyrimidine-5-carboxamide
