"","drug_id","drug_name","synonyms","pathway_name","targets","pubchem","extended_name"
"1",1,"Erlotinib","Tarceva, RG-1415, CP-358774, OSI-774, Ro-508231, R-1415","EGFR signaling","EGFR","176870","Erlotinib"
"3",3,"Rapamycin","AY-22989, Sirolimus, WY-090217, Torisel, Rapamune","PI3K/MTOR signaling","MTORC1","5384616","Rapamycin"
"5",5,"Sunitinib","Sutent, Sunitinib Malate, SU-11248","RTK signaling","PDGFR, KIT, VEGFR, FLT3, RET, CSF1R","5329102","Sunitinib"
"6",6,"PHA-665752","PHA665752, PHA 665752","RTK signaling","MET","10461815","PHA-665752"
"9",9,"MG-132","LLL cpd, MG 132, MG132","Protein stability and degradation","Proteasome, CAPN1","462382","MG-132"
"11",11,"Paclitaxel","BMS-181339-01, Taxol, Onxol, Paxene, Praxel, Abraxane","Mitosis","Microtubule stabiliser","36314","Paclitaxel"
"17",17,"Cyclopamine","-","Other","SMO","several","Cyclopamine"
"29",29,"AZ628","AZ-628, AZ 628","ERK MAPK signaling","BRAF","11676786","AZ628"
"30",30,"Sorafenib","Nexavar, 284461-73-0, BAY 43-9006","RTK signaling","PDGFR, KIT, VEGFR, RAF","216239","Sorafenib"
"32",32,"Tozasertib","MK 0457,MK-0457,MK-045, VX-680 VX 680 VX-68","Mitosis","AURKA, AURKB, AURKC, others","5494449","Tozasertib"
"34",34,"Imatinib","Gleevec, STI-571","Other, kinases","ABL, KIT, PDGFR","5291","Imatinib"
"35",35,"NVP-TAE684","NVP-TAE 684, TAE684, TAE-684","RTK signaling","ALK","16038120","NVP-TAE684"
"37",37,"Crizotinib","Xalkori, PF2341066, PF-2341066, PF 2341066","RTK signaling","MET, ALK, ROS1","11626560","Crizotinib"
"38",38,"Saracatinib","AZD0530, AZD-0530, AZ-10353926","Other, kinases","ABL, SRC","10302451","Saracatinib"
"41",41,"S-Trityl-L-cysteine","NSC 83265, Tritylcysteine","Mitosis","KIF11","76044","S-Trityl-L-cysteine"
"45",45,"Z-LLNle-CHO","Z-L-Norleucine-CHO, Gamma-Secretase Inhibitor 1","Other","gamma-secretase","16760646","Z-LLNle-CHO"
"51",51,"Dasatinib","BMS-354825-03, BMS-354825, Sprycel","RTK signaling","ABL, SRC, Ephrins, PDGFR, KIT","3062316","Dasatinib"
"52",52,"GNF-2","KIN001-013","ABL signaling","BCR-ABL","5311510","GNF-2"
"53",53,"CGP-60474","KIN001-019, CGP60474, CGP 60474","Cell cycle","CDK1,CDK2,CDK5,CDK7,CDK9, PKC","644215","CGP-60474"
"54",54,"CGP-082996","CINK4, KIN001-021","Cell cycle","CDK4","24825971","CGP-082996"
"55",55,"A-770041","KIN001-111","Other, kinases","LCK, FYN","9549184","A-770041"
"56",56,"WH-4-023","KIN001-112","Other, kinases","SRC, LCK","11844351","WH-4-023"
"59",59,"WZ-1-84","KIN001-123","Other, kinases","BMX","49821040","WZ-1-84"
