"","drug_id","drug_name","synonyms","pathway_name","targets","pubchem","extended_name"
"1003",1003,"Camptothecin","Camptothecine, (+)-Camptothecin","DNA replication","TOP1","24360","Camptothecin"
"1004",1004,"Vinblastine","Velban","Mitosis","Microtubule destabiliser","6710780","Vinblastine"
"1005",1005,"Cisplatin","cis-Diammineplatinum(II) dichloride, Platinol, CIS-DDP","DNA replication","DNA crosslinker","84691","Cisplatin"
"1006",1006,"Cytarabine","Ara-Cytidine, Arabinosyl Cytosine, U-19920","Other","Antimetabolite","6253","Cytarabine"
"1007",1007,"Docetaxel","RP-56976, Taxotere","Mitosis","Microtubule stabiliser","148124","Docetaxel_1007"
"1008",1008,"Methotrexate","Abitrexate, Amethopterin, Rheumatrex, Trexall, Folex","DNA replication","Antimetabolite","126941","Methotrexate"
"1009",1009,"Tretinoin","ATRA, Vesanoid, Renova, Atralin, Tretin-X, Avita","Other","Retinoic acid","444795","Tretinoin"
"1010",1010,"Gefitinib","ZD-1839, Iressa","EGFR signaling","EGFR","123631","Gefitinib"
"1011",1011,"Navitoclax","ABT-263, ABT263, ABT 263","Apoptosis regulation","BCL2, BCL-XL, BCL-W","24978538","Navitoclax"
"1012",1012,"Vorinostat","Zolinza, SAHA, suberanilohydroxamic acid, suberoylanilide hydroxamic acid, MK-0683","Chromatin histone acetylation","HDAC inhibitor Class I, IIa, IIb, IV","5311","Vorinostat"
"1013",1013,"Nilotinib","Tasigna, AMN 107","ABL signaling","ABL","644241","Nilotinib"
"1014",1014,"Refametinib","RDEA119, BAY-86-9766, BAY 869766","ERK MAPK signaling","MEK1, MEK2","44182295","Refametinib"
"1016",1016,"Temsirolimus","CCI-779, Torisel","PI3K/MTOR signaling","MTOR","6918289","Temsirolimus"
"1017",1017,"Olaparib","AZD2281, KU0059436,  Lynparza","Genome integrity","PARP1, PARP2","23725625","Olaparib"
"1018",1018,"Veliparib","ABT-888, ABT888, ABT 888","Genome integrity","PARP1, PARP2","11960529","Veliparib"
"1019",1019,"Bosutinib","SKI-606, Bosulif","Other, kinases","SRC, ABL, TEC","5328940","Bosutinib"
"1020",1020,"Lenalidomide","CDC-501, CC-5013, Revlimid","Protein stability and degradation","CRBN","216326","Lenalidomide"
"1021",1021,"Axitinib","AG-13736, Inlyta","RTK signaling","PDGFR, KIT, VEGFR","6450551","Axitinib"
"1022",1022,"AZD7762","AZD-7762, AZD 7762","Cell cycle","CHEK1, CHEK2","11152667","AZD7762"
"1023",1023,"GW441756","GW 441756","RTK signaling","NTRK1","9943465","GW441756"
"1024",1024,"Lestaurtinib","CEP-701, SP-924, SPM-924, A-154475, KT-555","Other, kinases","FLT3, JAK2, NTRK1, NTRK2, NTRK3","126565","Lestaurtinib"
"1025",1025,"SB216763","SB-216763, SB 216763","WNT signaling","GSK3A, GSK3B","176158","SB216763"
"1026",1026,"Tanespimycin","17-AAG, BMS-722782","Protein stability and degradation","HSP90","6505803","Tanespimycin"
"1029",1029,"Motesanib","AMG-706, AMG 706, AMG706","RTK signaling","VEGFR, RET, KIT, PDGFR","11667893","Motesanib"
"1030",1030,"KU-55933","KU55933","Genome integrity","ATM","5278396","KU-55933"
"1031",1031,"Elesclomol","STA-4783","Protein stability and degradation","HSP90","300471","Elesclomol"
"1032",1032,"Afatinib","BIBW2992, Tovok, Gilotrif","EGFR signaling","EGFR, ERBB2","10184653","Afatinib"
"1033",1033,"Vismodegib","GDC0449, Erivedge","Other","SMO","24776445","Vismodegib"
"1034",1034,"Staurosporine","-","RTK signaling","Broad spectrum kinase inhibitor","several","Staurosporine"
"1036",1036,"PLX-4720","PLX4720, PLX 4720","ERK MAPK signaling","BRAF","24180719","PLX-4720"
"1037",1037,"BX795","BX-795","Other, kinases","TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC","10077147","BX795"
"1038",1038,"NU7441","KU-57788, NU-7432, NU-7741","Genome integrity","DNAPK","11327430","NU7441"
"1039",1039,"SL0101","SL-0101, SL 0101-1","Other, kinases","RSK, AURKB, PIM1, PIM3","10459196","SL0101"
"1042",1042,"Doramapimod","BIRB-796, BIRB 796","JNK and p38 signaling","p38, JNK2","156422","Doramapimod"
"1043",1043,"JNK Inhibitor VIII","-","JNK and p38 signaling","JNK","11624601","JNK Inhibitor VIII"
"1046",1046,"Wee1 Inhibitor","681640, Wee1 Inhibitor","Cell cycle","WEE1, CHEK1","10384072","Wee1 Inhibitor"
"1047",1047,"Nutlin-3a (-)","-","p53 pathway","MDM2","11433190","Nutlin-3a (-)"
"1048",1048,"Mirin","-","Genome integrity","MRE11","none","Mirin"
"1049",1049,"PD173074","PD-173074, PD 173074","RTK signaling","FGFR1, FGFR2, FGFR3","1401","PD173074"
"1050",1050,"ZM447439","ZM-447439, ZM 447439","Mitosis","AURKA, AURKB","9914412","ZM447439"
"1051",1051,"Alisertib","MLN8237","Mitosis","AURKA","24771867","Alisertib"
"1052",1052,"RO-3306","-","Cell cycle","CDK1","44450571","RO-3306"
"1053",1053,"MK-2206","MK 2206, MK2206","PI3K/MTOR signaling","AKT1, AKT2","46930998","MK-2206"
"1054",1054,"Palbociclib","PD0332991, PD-0332991, PF-00080665-73","Cell cycle","CDK4, CDK6","5330286","Palbociclib"
"1057",1057,"Dactolisib","NVP-BEZ235, BEZ235","PI3K/MTOR signaling","PI3K (class 1), MTORC1, MTORC2","11977753","Dactolisib"
"1058",1058,"Pictilisib","GDC-0941, GDC0941, RG-7621","PI3K/MTOR signaling","PI3K (class 1)","17755052","Pictilisib"
"1059",1059,"AZD8055","AZD-8055","PI3K/MTOR signaling","MTORC1, MTORC2","25262965","AZD8055"
"1060",1060,"PD0325901","PD-0325901, PD 0325901","ERK MAPK signaling","MEK1, MEK2","9826528","PD0325901"
