Drug_Synonyms	NCI-60 private	CTRP_IDs	GDSC_IDs	CCLE_IDs	NCI/DTP SCLC_IDs	
(+)-JQ-1;(+)-JQ1;1268524-70-4;JQ1;JQ1 COMPOUND;UNII-1MRH0IMX0W	760183;764043	NA	JQ1_163;JQ1_1218	NA	764043	
790299-79-5;AB-1010;AB1010;MASATINIB;MASITINIB	755400	masitinib	Masitinib	NA	755400	
923564-51-6;ABT 263;ABT-263;ABT263;NAVITOCLAX	759659;762064	navitoclax	ABT-263	NA	759659	
912444-00-9;ABT 888;ABT-888;ABT888;VELIPARIB	752840	veliparib	ABT-888	NA	752840	
950769-58-1;AC-220;AC220;QUIZARTINIB;QUIZARTINIB (AC220)	756647	quizartinib	AC220	NA	756647	
475488-34-7;475489-16-8;AEW-541;AEW541;NVP-AEW541	767006	NA	NA	AEW541	767006	
453562-69-1;AMG 706;AMG-706;MOTESANIB;UNII-U1JK633AYI	760843	NA	AMG-706	NA	760843	
475108-18-0;ASP-4130;AV 951;AV-951;KRN-951;TIVOZANIB	758007	tivozanib	AV-951	NA	758007	
867160-71-2;ASP-7487;LINSITINIB;OSI 906;OSI-906;OSI906	756652	linsitinib	OSI-906_185	NA	756652	
844442-38-2;AT 7519;AT-7519;AT7519;UNII-X1BF92PW9T	773394	NA	AT-7519	NA	773394	
747412-49-3;AUY-922;AUY922;LUMINESPIB;NVP-AUY922;UNII-C6V1DAR5EB;VER-52296	755762	NA	AUY922	NA	755762	
379231-04-6;AZD-0530;AZD0530;NCHEMBIO866-COMP19;SARACATINIB	758872	saracatinib	AZD-0530	AZD0530	758872	
860352-01-8;AZD 7762;AZD-7762;AZD7762	757148	AZD7762	AZD7762	NA	757148	
1009298-09-2;AZD 8055;AZD-8055;AZD8055	758871	AZD8055	AZD8055	NA	758871	
BAY 61-3606	766992	NA	BAY 61-3606	NA	766992	
755038-02-9;BI 2536;BI-2536;BI2536;UNII-4LJG22T9C6	755983	BI-2536	BI-2536	NA	755983	
