"nsc","name","pubchem_cid","pubchem_sid","cas"
1,"tolylquinone","11122","66954","553979"
17,"4-Amino-3-pentadecylphenol","219123","219123","3158552"
89,"(dimethylamino)propiophenone hydrochloride","92844","538184","879721"
185,"Cactinomycin","6197","67121","66819"
295,"2-Phenylbutyric Acid","4775","4775","1821121"
353,"chloro-9-[[3-(diethylamino)propyl]amino]-2-methoxyacridi...","24180741","24180741","5336652"
384,"7-chloro-9-[[3-(dipentylamino)propyl]amino]-1,2,3,4-tetr...","54599265","54599265","5336889"
534,"acetoxyphenanthrylmercury",NA,"16685698",NA
596,"3-bromo-2,4,6-trinitrotoluene","219376","219376","5333095"
629,"bioxiran","11254","11254","1464535"
721,"isatin thiosemicarbazone","690109","690109","487161"
739,"aminopterin","2154","-1","54626"
740,"Methotrexate","126941","126941","59052"
742,"azaserin","6331826","460129","115026"
749,"8-Azaguanine","135403646","538242","134587"
752,"6-Thioguanine","2723601","-1","154427"
755,"6-Mercaptopurine","667490","-1","50442"
757,"Colchicine","6167","-1","64868"
762,"Nitrogen mustard","5935","-1","55867"
798,"3-phenyl-1-(2-pyridyl)-2-propen-1-one","5354119","67675","5337531"
830,"4-Pyridineacrylic acid","736782","736782","5337791"
885,"3,3'-diamino-4,4'-bis(dimethylamino)benzophenone","219490","67752","5340238"
1010,"7-[.alpha.-(p-nitroanilino)benzyl]-8-quinolinol","219563","219563","5335966"
1011,"p-[[.alpha.-(8-hydroxy-7-quinolyl)benzyl]amino]benzoic acid","219564","219564","5335977"
1012,"wln: t66 bnj iyr&mr bvq& jq","95307","95307","5394354"
1013,"7-(.alpha.-anilino-p-nitrobenzyl)-8-quinolinol","219565","219565",NA
1014,"7-[.alpha.-[(4-methyl-2-pyridyl)amino]benzyl]-8-quinolinol","219566","219566","5335988"
1026,"acpc","2901","2901","52528"
1027,"1,1,3-Tribromo-3-methyl-2-butanone","219573","219573","1578058"
1063,"6-Chloro-2-methoxy-9-[(5-piperidinopentyl)amino]acridine","219600","219600",NA
1199,"2-(Isobornyloxy)-1,1-dimethylethylamine","219648","219648","5396214"
1338,"N-Decyl-2-iodoacetamide","219690","219690","5348787"
1390,"Allopurinol","135401907","-1","315300"
1393,"pyrazoloadenine","75420","75420","2380634"
1433,"4-(butylamino)-1-phenyl-1h-pyrazolo[3,4-d]pyrimidine","219760","219760","68380529"
1460,"Tryptazan","95318","95318","526307"
1482,"2-(2-Methyl-2-nitropropoxy)bornane","219796","68285",NA
