d.extname,id,d.name,d.synonyms,index.dtable,index.dtable.curated,merge
Erlotinib,1,Erlotinib,"Tarceva, RG-1415, CP-358774, OSI-774, Ro-508231, R-1415",274,274,
Rapamycin,3,Rapamycin,"AY-22989, Sirolimus, WY-090217, Torisel, Rapamune",455;562,562,
Sunitinib,5,Sunitinib,"Sutent, Sunitinib Malate, SU-11248",615,615,
PHA-665752,6,PHA-665752,"PHA665752, PHA 665752",527,527,
MG-132,9,MG-132,"LLL cpd, MG 132, MG132",440,440,
Paclitaxel,11,Paclitaxel,"BMS-181339-01, Taxol, Onxol, Paxene, Praxel, Abraxane",498,498,
Cyclopamine,17,Cyclopamine,-,227,227,
AZ628,29,AZ628,"AZ-628, AZ 628",94,94,
Sorafenib,30,Sorafenib,"Nexavar, 284461-73-0, BAY 43-9006",608,608,
Tozasertib,32,Tozasertib,"MK 0457,MK-0457,MK-045, VX-680 VX 680 VX-68",648,648,
Imatinib,34,Imatinib,"Gleevec, STI-571",347;1405,347,
NVP-TAE684,35,NVP-TAE684,"NVP-TAE 684, TAE684, TAE-684",480,480,
Crizotinib,37,Crizotinib,"Xalkori, PF2341066, PF-2341066, PF 2341066",216,216,
Saracatinib,38,Saracatinib,"AZD0530, AZD-0530, AZ-10353926",96,96,
S-Trityl-L-cysteine,41,S-Trityl-L-cysteine,"NSC 83265, Tritylcysteine",575;959,575,959
Z-LLNle-CHO,45,Z-LLNle-CHO,"Z-L-Norleucine-CHO, Gamma-Secretase Inhibitor 1",186,186,
Dasatinib,51,Dasatinib,"BMS-354825-03, BMS-354825, Sprycel",236,236,
GNF-2,52,GNF-2,KIN001-013,310,310,
CGP-60474,53,CGP-60474,"KIN001-019, CGP60474, CGP 60474",188,188,
CGP-082996,54,CGP-082996,"CINK4, KIN001-021",187,187,
A-770041,55,A-770041,KIN001-111,18,18,
WH-4-023,56,WH-4-023,KIN001-112,679,679,
WZ-1-84,59,WZ-1-84,KIN001-123,682,682,
BI-2536,60,BI-2536,-,126,126,
BMS-536924_62,62,BMS-536924,BMS 536924,145,145,
BMS-509744,63,BMS-509744,"KIN001-127, ITK inhibitor",144,144,
CMK,64,CMK,KIN001-128,205,205,
Pyrimethamine,71,Pyrimethamine,"Daraprim, Chloridine",787,787,
JW-7-52-1,83,JW-7-52-1,NA,379,379,
A-443654,86,A-443654,KIN001-139,17,17,
GW843682X,87,GW843682X,GW843682X (AN-13),328,328,
Entinostat,88,Entinostat,MS-275,268,268,
Parthenolide,89,Parthenolide,-,186;502,502,
GSK319347A,91,GSK319347A,"KIN001-135, IKK-3 inhibitor",,2127,
TGX221,94,TGX221,"TGX-221, Tgx 221",637,637,
Bortezomib,104,Bortezomib,"PS-341, LDP-341, Velcade",153,153,
XMD8-85,106,XMD8-85,ERK5-IN-1,695,695,
Seliciclib,110,Seliciclib,"Roscovitine, CYC-202, AL-39256",226,226,
Salubrinal,111,Salubrinal,EIF-2alpha Inhibitor,577,577,
Lapatinib,119,Lapatinib,"Tykerb, Tyverb",401,401,
GSK269962A_127,127,GSK269962A,GSK 269962A,323,323,
Doxorubicin_133,133,Doxorubicin,"Doxil, Rubex, Adriamycin, Adriablastin, Doxorubicine",251;271;831,251,
Etoposide,134,Etoposide,"Etopophos, Vepesid, Eposin, VP-16",278,278,
Gemcitabine_135,135,Gemcitabine,"Gemzar, LY-188011",306,306,
Mitomycin-C,136,Mitomycin-C,"Mytozytrex, NSC-26980, MMC, Mitosol, Mitozytrex",444,444,
Vinorelbine,140,Vinorelbine,"vinorelbine tartrate, Navelbine, Exelbine",670,670,
NSC-87877,147,NSC-87877,NSC 87877,475;982,475,982
Bicalutamide_150,150,Bicalutamide,"ICI-176334, Casodex, Cosudex, ICI 176334",130,130,
QS11,151,QS11,944328-88-5,552,552,
CP466722,152,CP466722,"CP-466722, CP 466722, 1080622-86-1",212,212,
Midostaurin,153,Midostaurin,"PKC412, benzoylstaurosporine, CGP-41251",442,442,
CHIR-99021_154,154,CHIR-99021,"CT 99021, CHIR99021, CHIR 99021",194,194,
Ponatinib,155,Ponatinib,"AP24534, AP-24534, KIN001-192, Iclusig",61,61,
AZD6482_156,156,AZD6482,"AZD 6482, AZD-6482, AK-55409",109,109,
