Drug_Synonyms	update	merge	remove	action	NCI-60_IDs	GDSC-MGH-Sanger_IDs	CCLE-Broad-MIT_IDs	CTRP-Broad-MIT_IDs	NCI-DTP SCLC_IDs	NCATS MT_IDs	NCATS CT ic50_IDs	display_name
17-DMAG;ALVESPIMYCIN;CHEBI:65324;KOS-1022;UNII-001L2FE0M3;707545	6	1987	1987	m	707545	NA	NA	NA	707545	NA	ALVESPIMYCIN HYDROCHLORIDE	alvespimycin hydrochloride
1257044-40-8;ABT-199;ABT199;VENCLEXTA;VENETOCLAX	21	1116	1116	m	NA	NA	NA	ABT-199	766270	NA	Venetoclax	venetoclax
852808-04-9;ABT 737;ABT-737;ABT737;UNII-Z5NFR173NV	24	970	970	m	NA	NA	NA	ABT-737	758873	NA	ABT-737	abt-737
ACRICHINE;ACRINAMINE;ACRIQUINE;ATABRINE;MEPACRINE;QUINACRINE;14229	29	2570	2570	m	14229	NA	NA	NA	14229	NA	Quinacrine dihydrochloride	quinacrine dihydrochloride
1316214-52-4;ACY-1215;RICOLINOSTAT;ROCILINOSTAT	31	798	798	m	NA	NA	NA	NA	767952	NA	RICOLINOSTAT	ricolinostat
"475488-23-4;475489-15-7;ADW-742;ADW742, NVP-ADW742;CHEMBL399021;NVP-ADW742"	32	855	855	m	NA	NA	NA	NA	767746	NA	ADW-742	adw-742
497839-62-0;AEE 788;AEE-788;AEE788;GNF-PF-5343	34	1011	1011	m	NA	NA	NA	NA	765949	NA	AEE-788	aee-788
439081-18-2;850140-72-6;AFATINIB;BIBW 2992;TOVOK;750691	37	3035	3035	m	750691	Afatinib_1377;Afatinib_1032	NA	afatinib	750691	NA	AFATINIB DIMALEATE	afatinib
459868-92-9;AG-014699;PF-01367338;RUCAPARIB (PHOSPHATE);RUCAPARIB PHOSPHATE	39	2030	2030	m	NA	AG-014699	NA	NA	756644	NA	Rucaparib	rucaparib
AICAR	42	2989	2989	m	NA	AICAR	NA	NA	NA	NA	Acadesine	acadesine
1028486-01-2;ALISERTIB;MLN 8237;MLN-8237;MLN8237	44	1077	1077	m	NA	NA	NA	alisertib	759677	NA	Alisertib	alisertib
913376-83-7;AMG 458;AMG-458;AMG458;UNII-4535RW5Y3A	51	1114	1114	m	NA	NA	NA	NA	754346	NA	Amg-458	amg-458
453562-69-1;AMG 706;AMG-706;MOTESANIB;UNII-U1JK633AYI;760843	52	2183	2183	m	760843	AMG-706	NA	NA	760843	NA	MOTESANIB DIPHOSPHATE	motesanib
905854-02-6;ARQ 197;ARQ-197;ARQ197;TIVANTINIB	67	793	793	m	NA	NA	NA	tivantinib	758242	NA	Tivantinib	tivantinib
606143-89-9;ARRY-162;ARRY-438162;BINIMETINIB;MEK-162;MEK162	70	838	838	m	NA	NA	NA	NA	764042	NA	Binimetinib	binimetinib
937265-83-3;ARRY-380;ARRY-380 (ANALOG );ARRY380;UNII-H32S1659ED	71	1110	1110	m	NA	NA	NA	NA	764581	NA	Tucatinib	tucatinib
ARRY-520 (ISOMER A)	72	73	73	m	NA	NA	NA	NA	772254	NA	FILANESIB HYDROCHLORIDE	filanesib
ARRY-520 (ISOMER A)	72	1640	1640	m	NA	NA	NA	NA	772254	NA	FILANESIB HYDROCHLORIDE	filanesib
1236699-92-5;AS-703026;AS703026;PIMASERTIB;UNII-6ON9RK82AL	75	1025	1025	m	NA	NA	NA	NA	755763	NA	As-703026	pimasertib
648450-29-7;AS 605240;AS-605240;AS605240;PI 3-KGAMMA INHIBITOR	78	2899	2899	m	NA	AS605240	NA	NA	NA	NA	"5-QUINOXALIN-6-YLMETHYLENE-THIAZOLIDINE-2,4-DIONE"	as-605240
AT-101; BL-193	85	318	318	m	NA	NA	NA	NA	727859	NA	GOSSYPOL	(-)-gossypol
912999-49-6;AT-13387;AT13387;ONALESPIB;UNII-Q7Y33N57ZZ;749712	87	927	927	m	749712	NA	NA	AT13387	763579	NA	ONALESPIB LACTATE	onalespib
1071992-99-8;AT 406;AT-406;AT406;SM 406	88	811	811	m	NA	NA	NA	NA	764757	NA	AT-406	at-406
896466-04-9;AT-9283;AT9283;C19H23N7O2;UNII-XAV9KYN9WL	90	1086	1086	m	NA	NA	NA	NA	760144	NA	AT-9283	at-9283
297730-17-7;AVN 944;AVN-944;AVN944;UNII-I3NPL1V48Q	93	882	882	m	NA	NA	NA	NA	767601	NA	Avn944	avn-944
878739-06-1;AZ 628;AZ-628;AZ628;UNII-560S6B5D79	95	913	913	m	NA	AZ628	NA	NA	NA	NA	AZ-628	az-628
935666-88-9;AZD-1480;AZD1480;UNII-KL2Z2TLF01	98	888	888	m	NA	NA	NA	AZD1480	756648	NA	AZD-1480	azd-1480
288383-20-0;AZD 2171;AZD-2171;AZD2171;CEDIRANIB;RECENTIN	99	754	754	m	NA	NA	NA	cediranib	755606	NA	CEDIRANIB MALEATE	cediranib
1240299-33-5;AZD-3514;AZD3514;CHEMBL2346976	102	881	881	m	NA	NA	NA	NA	765776	NA	Azd-3514	azd-3514
1143532-39-1;AZD 5363;AZD-5363;AZD5363;UNII-WFR23M21IE	104	944	944	m	NA	NA	NA	NA	764039	NA	azd-5363	azd-5363
869357-68-6;ARRY-424704;ARRY-704;AZD-8330;AZD8330	108	786	786	m	NA	NA	NA	NA	772563	NA	Azd-8330	azd-8330
848942-61-0;AZD-8931;AZD8931;AZD8931 (SAPITINIB);SAPITINIB	109	1064	1064	m	NA	NA	NA	NA	758005	NA	Sapitinib	sapitinib
BARDOXOLONE METHYL	114	1071	1071	m	NA	NA	NA	bardoxolone methyl	NA	NA	Bardoxolone methyl	bardoxolone methyl
BAY 61-3606;766992	116	1904	1904	m	766992	BAY 61-3606	NA	NA	766992	NA	Bay61-3606	bay61-3606
872511-34-7;BGJ 398;BGJ-398;BGJ398;NVP-BGJ398	125	905	905	m	NA	NA	NA	NA	764487	NA	BGJ-398	infigratinib
755038-65-4;BI 6727;BI-6727;UNII-6EM57086EA;VOLASERTIB	128	755	755	m	NA	NA	NA	NA	757149	NA	VOLASERTIB	volasertib
90357-06-5;BICALUTAMIDE;CASODEX;COSUDEX;ICI 176334	131	2965	2965	m	NA	Bicalutamide_150;Bicalutamide_1502	NA	NA	NA	NA	(S)-BICALUTAMIDE	bicalutamide
BIRB 0796	133	3050	3050	m	NA	BIRB 0796	NA	NA	NA	NA	Doramapimod	doramapimod
1260251-31-7;BIRINAPANT;BIRINAPANT (TL32711);TL-32711;UNII-6O4Z07B57R	134	956	956	m	NA	NA	NA	birinapant	767128	NA	Birinapant	birinapant
BLEOMICIN;BLEOMICINA;BLEOMYCIN;BLEOMYCINE;BLEOMYCINS;BLEOMYCINUM;125066;758612;BLEOMYCIN SULFATE	137	138	138	m	125066;758612	Bleomycin;Bleomycin_NSC_125066	NA	NA	125066	NA	Bleomycin sulfate	bleomycin sulfate
BLEOMICIN;BLEOMICINA;BLEOMYCIN;BLEOMYCINE;BLEOMYCINS;BLEOMYCINUM;125066;758612;BLEOMYCIN SULFATE	137	139	139	m	125066;758612	Bleomycin;Bleomycin_NSC_125066	NA	NA	125066	NA	Bleomycin sulfate	bleomycin sulfate
516480-79-8;BML-277;CHEMBL179583;CHK2 INHIBITOR II;CHK2 INHIBITOR II HYDRATE	141	886	886	m	NA	NA	NA	NA	741899	NA	339253	bml-277
1207456-01-6;BMN 673;BMN-673;TALAZOPARIB;UNII-9QHX048FRV;765396;727125	142	772	772	m	765396;727125	BMN-673	NA	NA	765396;767125;767533	NA	TALAZOPARIB	talazoparib
345627-80-7;BMS 387032;BMS-387032;SNS 032;SNS-032	146	992	992	m	NA	NA	NA	SNS-032	767048	NA	SNS-032	sns-032
859853-30-8;BMS 690514;BMS-690514;UNII-VKU5X213Q7	150	953	953	m	NA	NA	NA	NA	760765	NA	BMS-690514	bms-690514
1271022-90-2;BMS 911543;BMS-911543;BMS911543;UNII-7N03P021J8	154	958	958	m	NA	NA	NA	NA	766821	NA	BMS-911543	bms-911543
380843-75-4;BOSUTINIB;SKI 606;SKI-606;SKI606;765694	157	158	158	m	765694	Bosutinib	NA	bosutinib	765694	NA	BOSUTINIB	bosutinib
BUTHIONINE SULPHOXIMINE;326231	164	2937	2937	m	326231	NA	NA	NA	NA	NA	"Dl-buthionine-[s,r]-sulfoximine"	buthionine sulfoximine
BY-PRODUCT OF CUDC-305	167	224	224	m	NA	NA	NA	NA	761390	NA	Cudc-305	cudc-305
