pert_iname,clinical_phase,moa,target,disease_area,indication,matching_in_cellminercdb,kw_matching,
usniacin-(+),Preclinical,MAP kinase activator,PTPN1,,,FALSE,(+)-usnic acid,
3-amino-benzamide,Phase 2,PARP inhibitor,PARP1,,,FALSE,3-aminobenzamide,
fdcyd,Phase 2,DNA methyltransferase inhibitor,,,,FALSE,5-fluoro-2'-deoxycytidine,
abiraterone-acetate,Launched,androgen biosynthesis inhibitor,CYP17A1,oncology,prostate cancer,SYN,abiraterone,
adefovir-dipivoxil,Launched,DNA polymerase inhibitor,,infectious disease,hepatitis B,FALSE,adefovir dipivoxil,
ADL5859,Phase 2,opioid receptor agonist,OPRD1,,,FALSE,adl-5859,
tyrphostin-AG-1478,Preclinical,EGFR inhibitor,EGFR|MAPK14,,,FALSE,ag-1478,
CD-437,Preclinical,retinoid receptor agonist,RARG,,,FALSE,ahpn,
maytansinol-isobutyrate,Preclinical,,,,,FALSE,ansamitocin p3,
STA-5326,Phase 2,interleukin synthesis inhibitor,IL12A,,,FALSE,apilimod,
dihydroartemisinin,Launched,antimalarial agent,,infectious disease,malaria,FALSE,artenimol,
AT7867,Preclinical,AKT inhibitor,AKT2|GSK3B|PKIA|PRKACA,,,FALSE,at-7867,
aurora-a-inhibitor-i,Preclinical,Aurora kinase inhibitor,AURKA,,,FALSE,aurora a inhibitor i,
AZ3146,Preclinical,monopolar spindle 1 kinase inhibitor,,,,FALSE,az-3146,
AZ960,Preclinical,JAK inhibitor,JAK2,,,FALSE,az-960,
AZD3463,Preclinical,ALK tyrosine kinase receptor inhibitor|insulin growth factor receptor inhibitor,ALK|IGF1R,,,FALSE,azd-3463,
AZD5438,Phase 1,CDK inhibitor,KCNH2,,,FALSE,azd-5438,
AZD6482,Phase 1,PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG,,,FALSE,azd-6482,
azomycin-(2-nitroimidazole),Preclinical,protein synthesis inhibitor,,,,FALSE,azomycin,
bardoxolone-methyl,Phase 3,nuclear factor erythroid derived|like (NRF2) activator,PPARG|STAT3,,,SYN,bardoxolone methyl,
betamethasone-dipropionate,Launched,anti-inflammatory agent,NR3C1,dermatology,corticosteroid-responsive dermatoses,FALSE,betamethasone dipropionate,
dexamethasone-acetate,Launched,glucocorticoid receptor agonist,,endocrinology|rheumatology|allergy|gastroenterology|hematology|neurology/psychiatry|dermatology,hypercalcemia|rheumatoid arthritis|psoriatic arthritis|osteoarthritis|allergic rhinitis|ulcerative colitis|anemia|multiple sclerosis|enteritis|lupus|dermatitis herpetiformis (DH)|nephrotic syndrome|psoriasis,FALSE,betamethasone valerate,
betulinic-acid,Phase 1/Phase 2,apoptosis stimulant|NFkB pathway inhibitor,GPBAR1,,,FALSE,betulinic acid,
